,same_type_exponential_history,lr04_scaled,co2_scaled,pre_phase_sin,pre_phase_cos,ecc_scaled,obl_scaled,insol65n_scaled
same_type_exponential_history,1.0,0.09730808019175602,-0.05993189773067222,-0.07440290461243886,0.17883874104288427,-0.11903720065653128,-0.0029920284079497195,0.1357233921405995
lr04_scaled,0.09730808019175602,1.0,-0.8571151815066288,0.239930465532645,-0.10658367469064182,-0.40209828986394464,-0.17425555639212123,-0.20202240583233877
co2_scaled,-0.05993189773067225,-0.8571151815066288,1.0,-0.13250097260406923,0.11366377466947399,0.3527731841048328,0.13126011679914962,0.1745596796915882
pre_phase_sin,-0.07440290461243884,0.239930465532645,-0.13250097260406918,1.0,0.0021474834759930453,-0.00245232273253496,-0.02436439500356861,-0.009843879683403991
pre_phase_cos,0.17883874104288427,-0.10658367469064182,0.11366377466947399,0.0021474834759930487,1.0,-0.005678617011975532,-0.05189352491441817,0.7969487551081897
ecc_scaled,-0.11903720065653133,-0.4020982898639445,0.3527731841048328,-0.0024523227325349553,-0.005678617011975521,1.0000000000000002,-0.039982319091285246,0.017025797186185698
obl_scaled,-0.0029920284079497125,-0.17425555639212117,0.13126011679914962,-0.0243643950035686,-0.05189352491441817,-0.039982319091285246,1.0,0.45977221282163067
insol65n_scaled,0.1357233921405995,-0.2020224058323388,0.1745596796915882,-0.009843879683403995,0.7969487551081897,0.01702579718618569,0.45977221282163083,1.0
