driver_id,raw_column,scaled_column,units,response_mean,response_min,response_max,response_range,scaling
ecc,ecc,ecc_scaled,dimensionless,0.029401251349687508,0.004149,0.049952,0.045803,(value - nominal exposure-time mean) / nominal interpolant range
obl,obl,obl_scaled,degrees,23.340164688360975,22.076178437949643,24.455901344246005,2.3797229062963616,(value - nominal exposure-time mean) / nominal interpolant range
insol65n,insol65n,insol65n_scaled,W m-2,494.8478857211103,431.793701171875,553.4506225585938,121.65692138671875,(value - nominal exposure-time mean) / nominal interpolant range
