model_id,term,beta,fit_valid,invalid_reason
B,intercept,-1.6829280671526752,True,
B,same_type_history_count,-0.5642934490149226,True,
B,lr04_scaled,2.7901389706733855,True,
B,co2_scaled,2.5085242578300657,True,
BP,intercept,-1.7120850228744702,True,
BP,same_type_history_count,-0.7176712284286014,True,
BP,lr04_scaled,3.35078678000847,True,
BP,co2_scaled,2.7379370987495784,True,
BP,pre_phase_sin,-0.20776841104608407,True,
BP,pre_phase_cos,0.4872732667197264,True,
B_ecc,intercept,-1.68734910498269,True,
B_ecc,same_type_history_count,-0.5845963742317392,True,
B_ecc,lr04_scaled,2.653043973992062,True,
B_ecc,co2_scaled,2.5771701383105925,True,
B_ecc,ecc_scaled,-0.5252589069341516,True,
BP_ecc,intercept,-1.7133666790346025,True,
BP_ecc,same_type_history_count,-0.7252378667275164,True,
BP_ecc,lr04_scaled,3.1957599873528983,True,
BP_ecc,co2_scaled,2.7521399344799393,True,
BP_ecc,pre_phase_sin,-0.19253186321286195,True,
BP_ecc,pre_phase_cos,0.4751971451116274,True,
BP_ecc,ecc_scaled,-0.36855162053506446,True,
B_obl,intercept,-1.683053539862425,True,
B_obl,same_type_history_count,-0.5638088474449254,True,
B_obl,lr04_scaled,2.8042384383465864,True,
B_obl,co2_scaled,2.505969054804586,True,
B_obl,obl_scaled,0.10870963523964945,True,
BP_obl,intercept,-1.7127872316361126,True,
BP_obl,same_type_history_count,-0.7201573544479193,True,
BP_obl,lr04_scaled,3.3930091614226754,True,
BP_obl,co2_scaled,2.7141926732665764,True,
BP_obl,pre_phase_sin,-0.21507676590288374,True,
BP_obl,pre_phase_cos,0.49417777203044605,True,
BP_obl,obl_scaled,0.21344118092740902,True,
B_insol65n,intercept,-1.701613681815108,True,
B_insol65n,same_type_history_count,-0.635119047773362,True,
B_insol65n,lr04_scaled,3.0117447432951474,True,
B_insol65n,co2_scaled,2.386079753426038,True,
B_insol65n,insol65n_scaled,1.3918525644912965,True,
BP_insol65n,intercept,-1.7131066398797328,True,
BP_insol65n,same_type_history_count,-0.7177752933522231,True,
BP_insol65n,lr04_scaled,3.3945874756649705,True,
BP_insol65n,co2_scaled,2.7253662721609904,True,
BP_insol65n,pre_phase_sin,-0.21455759559868906,True,
BP_insol65n,pre_phase_cos,0.4169636106803647,True,
BP_insol65n,insol65n_scaled,0.32512531779977627,True,
