model_id,terms,n_parameters,converged,fit_valid,invalid_reason,log_likelihood,AIC,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,n_events,exposure_kyr,fit_status
B,same_type_exponential_history;lr04_scaled;co2_scaled,4,True,True,,-183.4664633720164,374.9329267440328,,,69,396.46426387771527,finite_mle
BP,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.17522307502304,368.3504461500461,334.2340088073576,3.323414215810836,69,396.46426387771527,finite_mle
B_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;ecc_scaled,5,True,True,,-182.97223461777833,375.94446923555665,,,69,396.46426387771527,finite_mle
BP_ecc,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;ecc_scaled,7,True,True,,-178.00281736876371,370.00563473752743,334.9561055776163,3.218484687099587,69,396.46426387771527,finite_mle
B_obl,same_type_exponential_history;lr04_scaled;co2_scaled;obl_scaled,5,True,True,,-183.4047345753329,376.8094691506658,,,69,396.46426387771527,finite_mle
BP_obl,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;obl_scaled,7,True,True,,-177.90557908110821,369.81115816221643,333.7448798685883,3.4640489687047036,69,396.46426387771527,finite_mle
B_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;insol65n_scaled,5,True,True,,-180.44277538821302,370.88555077642604,,,69,396.46426387771527,finite_mle
BP_insol65n,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;insol65n_scaled,7,True,True,,-178.07156411055135,370.1431282211027,328.46256419127053,2.8287461729245353,69,396.46426387771527,finite_mle
