realization_id,within_observation_support,n_response_events,response_exposure_kyr,all_comparisons_valid,invalid_reason
Barker_MC_08585,True,69,396.7212385850448,True,
Barker_MC_04512,True,69,397.164349945378,True,
Barker_MC_01754,True,69,397.45766376382323,True,
Barker_MC_06622,True,69,395.81504169579205,True,
Barker_MC_05169,True,69,396.25514651183295,True,
Barker_MC_01257,True,69,396.4652366529766,True,
Barker_MC_03473,True,69,396.5627212114035,True,
Barker_MC_07670,True,69,396.5276127475759,True,
Barker_MC_02218,True,69,396.4357256894594,True,
Barker_MC_00563,True,69,397.5735628409446,True,
Barker_MC_05538,True,69,395.43179084965897,True,
Barker_MC_08381,True,69,395.4145607567705,True,
Barker_MC_06495,True,69,397.24499359282,True,
Barker_MC_08320,True,69,395.79256651693515,True,
Barker_MC_05982,True,69,396.72150441858236,True,
Barker_MC_08638,True,69,395.93794805265156,True,
Barker_MC_06573,True,69,396.5579193966951,True,
Barker_MC_09553,True,69,396.8487472889028,True,
Barker_MC_03221,True,69,397.13556966693227,True,
Barker_MC_08757,True,69,395.9187524243734,True,
Barker_MC_00766,True,69,397.33444722592833,True,
Barker_MC_09165,True,69,397.05514745620343,True,
Barker_MC_02359,True,69,396.27348091110554,True,
Barker_MC_03699,True,69,396.3505144311366,True,
Barker_MC_02115,True,69,395.5320780269122,True,
Barker_MC_03897,True,69,396.3599531055452,True,
Barker_MC_06064,True,69,396.40911021159036,True,
Barker_MC_05459,True,69,396.4306470568795,True,
Barker_MC_05642,True,69,396.87415497522164,True,
Barker_MC_03492,True,69,396.5940203054233,True,
Barker_MC_01163,True,69,395.80970756870573,True,
Barker_MC_00891,True,69,397.17485745624094,True,
Barker_MC_06592,True,69,395.82054986006557,True,
Barker_MC_04188,True,69,396.8819411367688,True,
Barker_MC_04101,True,69,396.297753660297,True,
Barker_MC_06731,True,69,396.6410914650413,True,
Barker_MC_00167,True,69,395.30563548150195,True,
Barker_MC_02319,True,69,396.95666361529516,True,
Barker_MC_00211,True,69,395.94502791024,True,
Barker_MC_06306,True,69,396.1485349903195,True,
Barker_MC_08435,True,69,397.2013941816384,True,
Barker_MC_09530,True,69,397.2392237869198,True,
Barker_MC_06369,True,69,396.5160199935152,True,
Barker_MC_00473,True,69,397.250550253105,True,
Barker_MC_03239,True,69,395.71119104369086,True,
Barker_MC_00236,True,69,395.913872157799,True,
Barker_MC_09056,True,69,396.4190451148545,True,
Barker_MC_04865,True,69,395.353835724344,True,
Barker_MC_04168,True,69,397.45503409959673,True,
Barker_MC_03175,True,69,397.01260309665844,True,
