model_id,point_fit_valid,point_invalid_reason,n_mc_total,n_mc_valid,n_mc_invalid,phase_quantiles,pre_phase_preferred_deg_point,pre_phase_preferred_deg_q025,pre_phase_preferred_deg_median,pre_phase_preferred_deg_q975,pre_phase_rate_ratio_max_vs_min_point,pre_phase_rate_ratio_max_vs_min_q025,pre_phase_rate_ratio_max_vs_min_median,pre_phase_rate_ratio_max_vs_min_q975
BP,True,,500,500,0,degrees unwrapped about this model's point phase,334.2340088073576,328.80031088667187,336.7852793459869,347.51321255467445,3.323414215810836,2.579563779949882,3.0841481325225684,3.7194381735911635
BP_ecc,True,,500,500,0,degrees unwrapped about this model's point phase,334.9561055776163,329.4500745635371,337.55770047378945,348.53283182018555,3.218484687099587,2.509164307873023,2.996322659283634,3.6142188854846418
BP_obl,True,,500,500,0,degrees unwrapped about this model's point phase,333.7448798685883,328.54258851698546,336.3055411675474,346.4525541897252,3.4640489687047036,2.6629046592309624,3.1967756879577225,3.9088593954035145
BP_insol65n,True,,500,500,0,degrees unwrapped about this model's point phase,328.46256419127053,322.3326152760195,331.8140328918373,343.12815775072903,2.8287461729245353,2.1412575831270857,2.618469148034575,3.2352403005340022
