age_ka,precession_index,extremum_type,half_cycle_index,anchor_phase_unwrapped_rad,anchor_phase_rad,anchor_phase_deg
-54.4,0.011622,maximum,0,3.141592653589793,3.141592653589793,180.0
-43.9,-0.008576,minimum,1,6.283185307179586,0.0,0.0
-34.2,0.004698,maximum,2,9.42477796076938,3.141592653589793,180.0
-26.4,-0.002389,minimum,3,12.566370614359172,0.0,0.0
-18.3,0.005879,maximum,4,15.707963267948966,3.141592653589793,180.0
-9.0,-0.011896,minimum,5,18.84955592153876,0.0,0.0
1.0,0.017116,maximum,6,21.991148575128552,3.141592653589793,180.0
11.5,-0.019617,minimum,7,25.132741228718345,0.0,0.0
22.4,0.018494,maximum,8,28.274333882308138,3.141592653589793,180.0
33.6,-0.01524,minimum,9,31.41592653589793,0.0,0.0
47.1,0.013982,maximum,10,34.55751918948772,3.1415926535897896,179.9999999999998
60.2,-0.018454,minimum,11,37.69911184307752,0.0,0.0
71.7,0.02409,maximum,12,40.840704496667314,3.1415926535897967,180.0000000000002
83.0,-0.030527,minimum,13,43.98229715025711,7.105427357601002e-15,4.0711099922733015e-13
94.5,0.037204,maximum,14,47.12388980384689,3.1415926535897896,179.9999999999998
105.5,-0.042289,minimum,15,50.26548245743669,0.0,0.0
116.1,0.043869,maximum,16,53.40707511102649,3.1415926535897967,180.0000000000002
127.0,-0.040942,minimum,17,56.54866776461628,7.105427357601002e-15,4.0711099922733015e-13
138.5,0.034177,maximum,18,59.690260418206066,3.1415926535897896,179.9999999999998
150.6,-0.02827,minimum,19,62.83185307179586,0.0,0.0
163.4,0.02981,maximum,20,65.97344572538566,3.1415926535897967,180.0000000000002
175.6,-0.036235,minimum,21,69.11503837897546,7.105427357601002e-15,4.0711099922733015e-13
186.9,0.042162,maximum,22,72.25663103256524,3.1415926535897896,179.9999999999998
197.9,-0.046542,minimum,23,75.39822368615503,0.0,0.0
209.1,0.049339,maximum,24,78.53981633974483,3.1415926535897967,180.0000000000002
220.3,-0.049675,minimum,25,81.68140899333463,7.105427357601002e-15,4.0711099922733015e-13
231.1,0.046425,maximum,26,84.82300164692442,3.1415926535898038,180.0000000000006
241.7,-0.039015,minimum,27,87.96459430051421,0.0,0.0
253.2,0.028251,maximum,28,91.106186954104,3.1415926535897967,180.0000000000002
266.5,-0.020607,minimum,29,94.2477796076938,7.105427357601002e-15,4.0711099922733015e-13
279.7,0.025131,maximum,30,97.38937226128358,3.1415926535897896,179.9999999999998
291.2,-0.031805,minimum,31,100.53096491487338,0.0,0.0
302.3,0.035684,maximum,32,103.67255756846318,3.1415926535897967,180.0000000000002
313.1,-0.036402,minimum,33,106.81415022205297,7.105427357601002e-15,4.0711099922733015e-13
323.7,0.034802,maximum,34,109.95574287564277,3.1415926535898038,180.0000000000006
334.6,-0.030947,minimum,35,113.09733552923255,0.0,0.0
345.1,0.024907,maximum,36,116.23892818282235,3.1415926535897967,180.0000000000002
354.9,-0.017168,minimum,37,119.38052083641215,7.105427357601002e-15,4.0711099922733015e-13
364.3,0.008929,maximum,38,122.52211349000193,3.1415926535897896,179.9999999999998
372.3,-0.004227,minimum,39,125.66370614359172,0.0,0.0
380.1,0.006977,maximum,40,128.8052987971815,3.1415926535897825,179.99999999999937
389.0,-0.012348,minimum,41,131.9468914507713,6.283185307179565,0.0
398.5,0.015571,maximum,42,135.0884841043611,3.1415926535897896,179.9999999999998
408.4,-0.015743,minimum,43,138.23007675795088,6.283185307179572,0.0
418.4,0.013101,maximum,44,141.37166941154067,3.1415926535897682,179.99999999999858
428.0,-0.009197,minimum,45,144.51326206513048,6.283185307179579,0.0
436.7,0.006865,maximum,46,147.65485471872026,3.1415926535897754,179.99999999999898
445.2,-0.008499,minimum,47,150.79644737231007,0.0,0.0
454.7,0.014179,maximum,48,153.93804002589985,3.1415926535897825,179.99999999999937
464.8,-0.021521,minimum,49,157.07963267948963,6.283185307179565,0.0
474.9,0.028408,maximum,50,160.22122533307945,3.1415926535897896,179.9999999999998
485.1,-0.033301,minimum,51,163.36281798666923,6.283185307179572,0.0
495.5,0.034622,maximum,52,166.50441064025904,3.1415926535897967,180.0000000000002
506.1,-0.031366,minimum,53,169.64600329384882,6.283185307179579,0.0
516.6,0.023898,maximum,54,172.7875959474386,3.1415926535897754,179.99999999999898
528.3,-0.014264,minimum,55,175.92918860102841,0.0,0.0
545.1,0.016823,maximum,56,179.0707812546182,3.1415926535897825,179.99999999999937
556.3,-0.02677,minimum,57,182.21237390820798,6.283185307179565,0.0
567.2,0.035297,maximum,58,185.3539665617978,3.1415926535897896,179.9999999999998
578.3,-0.042197,minimum,59,188.49555921538757,6.283185307179572,0.0
589.2,0.046459,maximum,60,191.63715186897736,3.1415926535897682,179.99999999999858
599.7,-0.047013,minimum,61,194.77874452256717,6.283185307179579,0.0
610.3,0.043089,maximum,62,197.92033717615695,3.1415926535897754,179.99999999999898
621.0,-0.034169,minimum,63,201.06192982974676,0.0,0.0
632.2,0.021637,maximum,64,204.20352248333654,3.1415926535897825,179.99999999999937
648.1,-0.014405,minimum,65,207.34511513692632,6.283185307179565,0.0
660.6,0.024882,maximum,66,210.48670779051614,3.1415926535897896,179.9999999999998
671.5,-0.033186,minimum,67,213.62830044410592,6.283185307179572,0.0
682.1,0.037823,maximum,68,216.76989309769573,3.1415926535897967,180.0000000000002
692.7,-0.03897,minimum,69,219.9114857512855,6.283185307179579,0.0
703.5,0.037243,maximum,70,223.0530784048753,3.1415926535897754,179.99999999999898
714.0,-0.032548,minimum,71,226.1946710584651,0.0,0.0
724.0,0.025719,maximum,72,229.3362637120549,3.1415926535897825,179.99999999999937
733.7,-0.01688,minimum,73,232.47785636564467,6.283185307179565,0.0
742.7,0.008961,maximum,74,235.61944901923448,3.1415926535897896,179.9999999999998
750.7,-0.00704,minimum,75,238.76104167282426,6.283185307179572,0.0
758.9,0.011826,maximum,76,241.90263432641405,3.1415926535897682,179.99999999999858
768.1,-0.017321,minimum,77,245.04422698000386,6.283185307179579,0.0
777.7,0.02026,maximum,78,248.18581963359364,3.1415926535897754,179.99999999999898
787.6,-0.0199,minimum,79,251.32741228718345,0.0,0.0
797.4,0.016901,maximum,80,254.46900494077323,3.1415926535897825,179.99999999999937
806.7,-0.013388,minimum,81,257.610597594363,6.283185307179565,0.0
815.7,0.011854,maximum,82,260.7521902479528,3.141592653589761,179.99999999999818
824.8,-0.014749,minimum,83,263.89378290154264,1.4210854715202004e-14,8.142219984546603e-13
834.3,0.021052,maximum,84,267.0353755551324,3.1415926535897967,180.0000000000002
844.2,-0.028689,minimum,85,270.1769682087222,6.283185307179579,0.0
854.3,0.035195,maximum,86,273.318560862312,3.1415926535897754,179.99999999999898
864.5,-0.038968,minimum,87,276.46015351590177,6.283185307179558,0.0
874.9,0.037972,maximum,88,279.60174616949155,3.141592653589754,179.99999999999775
885.2,-0.031812,minimum,89,282.7433388230814,7.105427357601002e-15,4.0711099922733015e-13
895.5,0.021003,maximum,90,285.88493147667117,3.1415926535897896,179.9999999999998
914.3,-0.010423,minimum,91,289.02652413026095,6.283185307179572,0.0
925.8,0.024652,maximum,92,292.16811678385073,3.1415926535897682,179.99999999999858
936.5,-0.037028,minimum,93,295.3097094374405,6.283185307179551,0.0
947.3,0.047274,maximum,94,298.45130209103036,3.1415926535898038,180.0000000000006
958.1,-0.054576,minimum,95,301.59289474462014,0.0,0.0
968.8,0.057786,maximum,96,304.7344873982099,3.1415926535897825,179.99999999999937
979.2,-0.055864,minimum,97,307.8760800517997,6.283185307179565,0.0
989.8,0.048036,maximum,98,311.0176727053895,3.141592653589761,179.99999999999818
