driver,driver_label,event_type,event_label,event_index,event_age_ka,orbital_value_at_event,phase_unwrapped_rad,phase_rad,phase_deg,phase_fraction,phase_extrapolated,signed_distance_to_min_rad,signed_distance_to_max_rad,source_event_order
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-1,14.642,-0.01241578,26.038326927578815,0.9055856988604702,51.88623853211007,0.14412844036697242,False,0.9055856988604702,-2.236006954729323,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-2.1,22.97,0.0182114,28.434218508428334,3.3014772797099887,189.16071428571433,0.5254464285714286,False,-2.981708027469598,0.15988462612019558,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-2.2,23.29,0.017849000000000004,28.5239782985309,3.3912370698125542,194.30357142857147,0.539732142857143,False,-2.8919482373670324,0.24964441622276112,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-3,27.73,0.0016904999999999965,29.769395386203996,4.636654157485651,265.66071428571433,0.7379464285714288,False,-1.6465311496939352,1.4950615038958581,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-4,28.85,-0.003571500000000008,30.083554651562974,4.950813422844629,283.6607142857143,0.7879464285714285,False,-1.3323718843349577,1.8092207692548357,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-5.1,30.79,-0.010957399999999996,30.627723379059777,5.494982150341432,314.83928571428567,0.8745535714285713,False,-0.7882031568381543,2.353389496751639,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-5.2,32.45,-0.014565000000000003,31.09335229021684,5.9606110614984935,341.5178571428573,0.9486607142857146,False,-0.322574245681093,2.8190184079087004,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-6,33.690000000000005,-0.015236399999999999,31.436870486921865,0.020943951023934204,1.200000000000129,0.0033333333333336913,False,0.020943951023934208,-3.120648702565859,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-7,35.43,-0.013595699999999999,31.841786873384546,0.4258603374866148,24.399999999999906,0.06777777777777752,False,0.4258603374866148,-2.7157323161031783,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-8,38.17,-0.006496500000000002,32.479413826779805,1.0634872908818735,60.933333333333074,0.16925925925925853,False,1.0634872908818735,-2.0781053627079196,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-9,40.11,-3.510000000000701e-05,32.93087232662901,1.5149457907310762,86.7999999999999,0.2411111111111108,False,1.5149457907310762,-1.626646862858717,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-10,41.41,0.004162099999999993,33.23339606364136,1.8174695277434267,104.13333333333324,0.289259259259259,False,1.8174695277434267,-1.3241231258463664,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-11,43.290000000000006,0.00930610000000002,33.67089192947461,2.2549653935766756,129.2000000000001,0.3588888888888892,False,2.2549653935766756,-0.8866272600131175,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-12,46.81,0.013951800000000002,34.490033125077275,3.074106589179344,176.13333333333324,0.489259259259259,False,3.074106589179344,-0.06748606441044913,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-13,49.23,0.012288500000000008,35.06832776598743,3.6524012300895023,209.2671755725188,0.5812977099236633,False,-2.6307840770900843,0.5108085764997092,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-14,54.17,-0.002514499999999997,36.25301995749382,4.837093421595888,277.145038167939,0.7698473282442749,False,-1.4460918855836982,1.6955007680060952,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-15.1,54.95,-0.005611500000000014,36.44007661931062,5.024150083412685,287.86259541984737,0.7996183206106872,False,-1.2590352237669011,1.8825574298228922,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-15.2,55.75,-0.0086995,36.63192960578938,5.21600306989145,298.854961832061,0.830152671755725,False,-1.0671822372881368,2.0744104163016566,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-16.1,57.99,-0.015798500000000007,37.16911796792993,5.753191432031997,329.6335877862596,0.9156488549618323,False,-0.5299938751475894,2.611598778442204,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-16.2,58.23,-0.01634359999999999,37.22667386387356,5.810747327975626,332.93129770992374,0.9248091603053438,False,-0.4724379792039602,2.669154674385833,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-17.1,59.03,-0.0177218,37.41852685035232,6.002600314454391,343.9236641221374,0.9553435114503817,False,-0.2805849927251958,2.8610076608645976,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-17.2,59.39,-0.018111800000000004,37.50486069426777,6.088934158369838,348.8702290076337,0.9690839694656492,False,-0.19425114880974828,2.947341504780045,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-18,64.05,-0.0086785,38.7508624271054,1.0517505840278858,60.260869565217305,0.16739130434782584,False,1.0517505840278858,-2.0898420695619073,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-19.1,69.57000000000001,0.02022600000000004,40.25882690082851,2.559715057750992,146.66086956521764,0.4073913043478268,False,2.559715057750992,-0.5818775958388009,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-19.2,72.29,0.02369979999999999,41.00473455557156,3.305622712494042,189.39823008849575,0.526106194690266,False,-2.9775625946855446,0.16403005890424893,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-20,76.39,0.00485930000000003,42.14460445643157,4.445492613354055,254.70796460177007,0.7075221238938058,False,-1.8376926938255311,1.3038999597642622,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-21.1,84.71000000000001,-0.02732739999999998,44.44943831874742,0.46714116849031484,26.76521739130472,0.07434782608695756,False,0.46714116849031484,-2.6744514850994783,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-21.2,85.01,-0.026092499999999977,44.53139290971063,0.5490957594535288,31.460869565217877,0.08739130434782744,False,0.5490957594535288,-2.5924968941362643,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-22,89.99000000000001,0.013332100000000076,45.891839119699945,1.9095419694428415,109.40869565217403,0.3039130434782612,False,1.9095419694428415,-1.2320506841469516,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-23.1,103.99,-0.03810829999999997,49.83422746589845,5.851930315641347,335.2909090909089,0.9313636363636357,False,-0.4312549915382393,2.710337662051554,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-23.2,104.47,-0.04027169999999999,49.97131514532783,5.989017995070725,343.1454545454546,0.9531818181818184,False,-0.29416731210886155,2.847425341480932,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-24.1,106.7,-0.039848,50.62113445595629,0.3556519985195976,20.377358490565946,0.056603773584905405,False,0.3556519985195976,-2.7859406550701955,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-24.2,108.23,-0.029653899999999976,51.07459075406878,0.8091082966320897,46.35849056603782,0.12877358490566063,False,0.8091082966320897,-2.3324843569577034,
pre,Precession index,warming,NGRIP warming starts (GI),warming:GI-25,115.32,0.04266359999999998,53.175901311988746,2.9104188545520557,166.7547169811322,0.46320754716981166,False,2.9104188545520557,-0.23117379903773738,
pre,Precession index,cooling,NGRIP cooling starts (GS),cooling:GS-1,12.846,-0.01826908,25.520684688510258,0.3879434597919129,22.22752293577976,0.061743119266054886,False,0.3879434597919129,-2.75364919379788,
pre,Precession index,cooling,NGRIP cooling starts (GS),cooling:GS-2.1,22.85,0.01831,28.400558587139873,3.267817358421528,187.23214285714297,0.520089285714286,False,-3.0153679487580587,0.12622470483173487,
pre,Precession index,cooling,NGRIP cooling starts (GS),cooling:GS-2.2,23.17,0.018001099999999996,28.49031837724244,3.3575771485240935,192.3750000000001,0.5343750000000004,False,-2.925608158655493,0.2159844949343004,
pre,Precession index,cooling,NGRIP cooling starts (GS),cooling:GS-3,27.49,0.002854400000000007,29.70207554362707,4.569334314908726,261.80357142857144,0.7272321428571429,False,-1.7138509922708602,1.427741661318933,
pre,Precession index,cooling,NGRIP cooling starts (GS),cooling:GS-4,28.55,-0.0022085,29.99940484834182,4.866663619623473,278.83928571428567,0.7745535714285713,False,-1.416521687556113,1.7250709660336803,
pre,Precession index,cooling,NGRIP cooling starts (GS),cooling:GS-5.1,30.55,-0.0102065,30.560403536482855,5.4276623077645105,310.98214285714295,0.863839285714286,False,-0.8555229994150759,2.2860696541747174,
pre,Precession index,cooling,NGRIP cooling starts (GS),cooling:GS-5.2,31.99,-0.013895999999999997,30.9643225919444,5.831581363226054,334.125,0.928125,False,-0.4516039439535329,2.6899887096362605,
pre,Precession index,cooling,NGRIP cooling starts (GS),cooling:GS-6,33.31,-0.015193600000000002,31.33458172611748,6.201840497399136,355.33928571428567,0.9870535714285714,False,-0.08134480978045058,3.060247843809343,
pre,Precession index,cooling,NGRIP cooling starts (GS),cooling:GS-7,34.690000000000005,-0.014661299999999999,31.66958105385444,0.25365451795650884,14.533333333333312,0.040370370370370307,False,0.25365451795650884,-2.8879381356332843,
pre,Precession index,cooling,NGRIP cooling starts (GS),cooling:GS-8,36.53,-0.011198399999999997,32.097768497010385,0.681841961112454,39.06666666666681,0.10851851851851893,False,0.681841961112454,-2.459750692477339,
