dataset_id,dataset_label,bin_start_ka,bin_end_ka,bin_center_ka,dt_ka,lr04,lr04_scaled,co2,co2_scaled,precession_index,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_sin,pre_phase_cos,pre_phase_extrapolated,event_count,n_events_total,source,same_type_history_count,same_type_history_rate_per_kyr,same_type_history_window_ka,same_type_history_coverage_ka,same_type_history_complete
warming,NGRIP warming starts (GI),12.0,12.2,12.1,0.1999999999999993,3.9339999999999997,-0.18360563320356588,254.70127696207433,0.3332970632849838,-0.019358,25.305672934420535,0.17293170570219019,9.90825688073393,0.1720710623570346,0.985084539265195,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,1.0,0.2,5.0,5.000000000000002,True
warming,NGRIP warming starts (GI),12.2,12.4,12.3,0.20000000000000107,3.9619999999999997,-0.16752292211798286,248.94719084310452,0.2738068022806532,-0.01915,25.363316836321264,0.23057560760291906,13.211009174311839,0.22853793551668758,0.9735350081172071,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,1.0,0.2,5.0,5.0,True
warming,NGRIP warming starts (GI),12.4,12.6,12.5,0.1999999999999993,3.9899999999999998,-0.15144021103239982,244.80021790799577,0.23093213944337132,-0.018881,25.420960738221996,0.2882195095036515,16.51376146788995,0.28424562863766545,0.958751491576612,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,1.0,0.2,5.0,5.0,True
warming,NGRIP warming starts (GI),12.6,12.8,12.7,0.20000000000000107,4.018,-0.1353574999468168,243.9080845945943,0.22170856465363323,-0.01855,25.478604640122725,0.34586341140438037,19.81651376146786,0.3390090863657041,0.940783098998643,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,1.0,0.2,5.0,5.0,True
warming,NGRIP warming starts (GI),12.8,13.0,12.9,0.1999999999999993,4.045999999999999,-0.11927478886123406,239.2565964767388,0.17361782765936154,-0.01816,25.536248542023458,0.4035073133051128,23.119266055045973,0.39264639000157037,0.9196895195764354,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,1.0,0.2,5.0,4.999999999999998,True
warming,NGRIP warming starts (GI),13.0,13.2,13.1,0.1999999999999993,4.082,-0.09859701746548422,239.5825564237581,0.17698785756927324,-0.017711,25.593892443924187,0.4611512152058417,26.42201834862388,0.44497936181665954,0.8955408240595392,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,1.0,0.2,5.0,5.000000000000002,True
warming,NGRIP warming starts (GI),13.2,13.4,13.3,0.20000000000000107,4.126,-0.07332418575956778,237.25739665532092,0.1529485299260746,-0.017205,25.651536345824915,0.5187951171065706,29.72477064220179,0.49583415694151406,0.8684172319859262,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,1.0,0.2,5.0,5.0,True
warming,NGRIP warming starts (GI),13.4,13.6,13.5,0.1999999999999993,4.17,-0.04805135405365188,238.94932295933182,0.17044099273330868,-0.016644,25.709180247725648,0.576439019007303,33.0275229357799,0.5450418408609871,0.8384088452007568,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,1.0,0.2,5.0,5.0,True
warming,NGRIP warming starts (GI),13.6,13.8,13.7,0.20000000000000107,4.2139999999999995,-0.022778522347735964,241.01283076220435,0.19177515688018407,-0.016028,25.766824149626377,0.6340829209080319,36.33027522935781,0.5924389505977037,0.8056153485471163,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,1.0,0.2,5.0,5.0,True
warming,NGRIP warming starts (GI),13.8,14.0,13.9,0.1999999999999993,4.258,0.0024943093581804576,239.03605163125755,0.1713376618520434,-0.015357,25.824468051527106,0.6917268228087607,39.63302752293572,0.6378680377196515,0.7701456787229812,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,1.0,0.2,5.0,4.999999999999998,True
warming,NGRIP warming starts (GI),14.0,14.2,14.1,0.1999999999999993,4.301,0.027192758525325867,234.41515683511275,0.12356322264267271,-0.014632,25.882111953427838,0.7493707247094932,42.93577981651383,0.6811781913680279,0.7321176624044679,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,1.0,0.2,5.0,5.000000000000002,True
warming,NGRIP warming starts (GI),14.2,14.4,14.3,0.20000000000000107,4.343,0.051316825153700264,238.61709992155164,0.16700621007268124,-0.013856,25.939755855328567,0.807014626610222,46.23853211009174,0.7222255395679296,0.691657624837472,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,1.0,0.2,5.0,5.0,True
warming,NGRIP warming starts (GI),14.4,14.6,14.5,0.1999999999999993,4.385,0.07544089178207466,241.94781334877445,0.2014417411056419,-0.01303,25.997399757229296,0.8646585285109509,49.54128440366965,0.7608737271565997,0.6488999701978914,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,1.0,0.2,5.0,5.0,True
warming,NGRIP warming starts (GI),14.6,14.8,14.7,0.20000000000000107,4.4270000000000005,0.09956495841044957,228.67238914242154,0.06418998041761481,-0.01216,26.05504365913003,0.9223024304116834,52.84403669724776,0.7969943687415582,0.6039867351144768,False,1,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,0.0,0.0,5.0,5.0,True
warming,NGRIP warming starts (GI),14.8,15.0,14.9,0.1999999999999993,4.469,0.12368902503882397,229.40141122334438,0.0717271831940976,-0.011249,26.112687561030757,0.9799463323124122,56.14678899082567,0.8304674751839578,0.557067116837444,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,0.0,0.0,5.0,4.999999999999998,True
warming,NGRIP warming starts (GI),15.0,15.2,15.1,0.1999999999999993,4.516,0.1506850043610524,233.9409307606567,0.11866030107334785,-0.010301,26.170331462931486,1.0375902342131411,59.44954128440358,0.86118185219045,0.508296977620196,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,0.0,0.0,5.0,5.000000000000002,True
warming,NGRIP warming starts (GI),15.2,15.4,15.3,0.20000000000000107,4.5680000000000005,0.1805528963771354,226.6681270451256,0.043468344900875366,-0.009319,26.22797536483222,1.0952341361138735,62.75229357798169,0.8890354696894376,0.4578383269605997,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,0.0,0.0,5.0,5.0,True
warming,NGRIP warming starts (GI),15.4,15.6,15.5,0.1999999999999993,4.62,0.2104207883932179,223.38628461026934,0.009538080565582224,-0.008308,26.285619266732947,1.1528780380146024,66.0550458715596,0.9139358007647082,0.4058587834217362,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,0.0,0.0,5.0,5.0,True
warming,NGRIP warming starts (GI),15.6,15.8,15.7,0.20000000000000107,4.672,0.24028868040930038,222.20958911636168,-0.0026275215140264107,-0.007274,26.343263168633676,1.2105219399153313,69.35779816513751,0.9358001290205535,0.35253101781987245,False,0,34,NGRIP/data/processed/ngrip_warming_cooling_starts.csv,0.0,0.0,5.0,5.0,True
