segment_id,age_kyr_bp,lr04,co2,precession_index,pre_phase_deg,reduced_rate,full_rate
NGRIP,12,3.92,252.606185564,-0.019399,9.08256880734,0.248222992051,0.483451887034
NGRIP,12.1,3.934,254.701276962,-0.01931,10.7339449541,0.248929677935,0.485487061153
NGRIP,12.2,3.948,250.36585499,-0.019206,12.3853211009,0.252047015369,0.46993508841
NGRIP,12.3,3.962,248.947190843,-0.0190865,14.0366972477,0.25398115677,0.461574386046
NGRIP,12.4,3.976,244.890388299,-0.018952,15.6880733945,0.256885291102,0.446173769596
NGRIP,12.5,3.99,244.800217908,-0.018802,17.3394495413,0.258149375311,0.440128686089
NGRIP,12.6,4.004,247.701742322,-0.0186365,18.9908256881,0.258129614221,0.440675404835
NGRIP,12.7,4.018,243.908084595,-0.018456,20.6422018349,0.260676215339,0.424583127532
NGRIP,12.8,4.032,241.944256182,-0.018261,22.2935779817,0.262393253907,0.412521891281
NGRIP,12.9,4.046,239.256596477,-0.018051,23.9449541284,0.264292627287,0.39851568018
NGRIP,13,4.06,239.299801744,-0.0178265,25.5963302752,0.264957342217,0.390103203086
NGRIP,13.1,4.082,239.582556424,-0.017588,27.247706422,0.266952424194,0.386729089829
NGRIP,13.2,4.104,238.479744779,-0.017335,28.8990825688,0.269383047858,0.379727435313
NGRIP,13.3,4.126,237.257396655,-0.0170685,30.5504587156,0.271720274686,0.371844424207
NGRIP,13.4,4.148,237.672820174,-0.016788,32.2018348624,0.27321003463,0.366632857261
NGRIP,13.5,4.17,238.949322959,-0.0164935,33.8532110092,0.27415338164,0.36239618972
NGRIP,13.6,4.192,243.765681391,-0.0161855,35.504587156,0.273402182343,0.364391837056
NGRIP,13.7,4.214,241.012830762,-0.0158635,37.1559633028,0.275627925074,0.350592983678
NGRIP,13.8,4.236,239.891068232,-0.015528,38.8073394495,0.27693977642,0.339473453983
NGRIP,13.9,4.258,239.036051631,-0.015179,40.4587155963,0.277891093553,0.328290690744
NGRIP,14,4.28,236.054663063,-0.0148165,42.1100917431,0.279487962757,0.31288293117
NGRIP,14.1,4.301,234.415156835,-0.014441,43.7614678899,0.280016865331,0.299001016
NGRIP,14.2,4.322,238.574931149,-0.014053,45.4128440367,0.277746064862,0.294049082221
NGRIP,14.3,4.343,238.617099922,-0.0136525,47.0642201835,0.276916035946,0.281746384956
NGRIP,14.4,4.364,241.88537177,-0.0132395,48.7155963303,0.274373239444,0.273804950215
NGRIP,14.5,4.385,241.947813349,-0.0128155,50.3669724771,0.272828090006,0.260443896334
NGRIP,14.6,4.406,236.270181494,-0.0123805,52.0183486239,0.273302152239,0.239069689269
NGRIP,14.642,4.41482,238.533898659,-0.01219528,52.7119266055,0.2714285151,0.236297024039
NGRIP,14.642,4.41482,238.533898659,-0.01219528,52.7119266055,0.387350205099,0.619585605041
NGRIP,14.7,4.427,228.672389142,-0.011935,53.6697247706,0.396775522417,0.588892176185
NGRIP,14.8,4.448,228.43269166,-0.0114795,55.3211009174,0.403033021795,0.591555625594
NGRIP,14.9,4.469,229.401411223,-0.011014,56.9724770642,0.408623458356,0.598148886358
NGRIP,15,4.49,228.026655946,-0.01054,58.623853211,0.415782365097,0.597039388847
NGRIP,15.1,4.516,233.940930761,-0.0100575,60.2752293578,0.419885253985,0.625430022887
NGRIP,15.2,4.542,229.013863215,-0.0095665,61.9266055046,0.431154788962,0.617243921974
NGRIP,15.3,4.568,226.668127045,-0.009068,63.5779816514,0.44096442143,0.617880068684
NGRIP,15.4,4.594,224.981756495,-0.0085625,65.2293577982,0.450531853338,0.620782355047
NGRIP,15.5,4.62,223.38628461,-0.008051,66.880733945,0.460233700248,0.624041396661
NGRIP,15.6,4.646,223.128795056,-0.007534,68.5321100917,0.469167962073,0.631994586937
NGRIP,15.7,4.672,222.209589116,-0.007012,70.1834862385,0.478752441485,0.637781213909
NGRIP,15.8,4.698,223.814695412,-0.0064855,71.8348623853,0.486627482916,0.652688712858
NGRIP,15.9,4.724,223.202481239,-0.005955,73.4862385321,0.496310176882,0.659933160101
NGRIP,16,4.75,224.276774584,-0.005422,75.1376146789,0.50486019566,0.673573270821
NGRIP,16.1,4.763,223.24269986,-0.0048865,76.7889908257,0.510302846687,0.665239812496
NGRIP,16.2,4.776,224.933174737,-0.004348,78.4403669725,0.513630638666,0.667047847442
NGRIP,16.3,4.789,213.104345201,-0.003807,80.0917431193,0.527830051219,0.621058354488
NGRIP,16.4,4.802,210.991552536,-0.0032635,81.7431192661,0.534354368818,0.610106101932
NGRIP,16.5,4.815,209.517131167,-0.0027175,83.3944954128,0.540408121309,0.601591809942
NGRIP,16.6,4.828,209.173109162,-0.00217,85.0458715596,0.545558974645,0.597040083669
NGRIP,16.7,4.841,211.503870931,-0.001621,86.6972477064,0.548473485923,0.601457003393
NGRIP,16.8,4.854,205.513844988,-0.00107,88.3486238532,0.558483418741,0.578961429789
NGRIP,16.9,4.867,204.021930471,-0.0005175,90,0.564726201158,0.571425728579
NGRIP,17,4.88,204.205033321,3.59999999999e-05,91.6513761468,0.569539309967,0.569373673862
NGRIP,17.1,4.894,201.707457856,0.00059,93.3027522936,0.577160475103,0.560120370342
NGRIP,17.2,4.908,198.462499963,0.001144,94.9541284404,0.585521905317,0.548928309462
NGRIP,17.3,4.922,195.257678413,0.0016975,96.6055045872,0.593930130632,0.538250580407
NGRIP,17.4,4.936,192.345689138,0.0022495,98.2568807339,0.602146892925,0.528803706952
NGRIP,17.5,4.95,191.539155391,0.0027995,99.9082568807,0.608458681498,0.525747448208
NGRIP,17.6,4.964,196.337103399,0.0033465,101.559633028,0.609510035445,0.539251404616
NGRIP,17.7,4.978,190.840218284,0.0038905,103.211009174,0.620260743921,0.522835500666
NGRIP,17.8,4.992,187.596968276,0.004431,104.862385321,0.628960386968,0.513415746542
