model_id,phase_sector_center_deg,observed_events,fitted_events,observed_over_fitted
reduced,10,3,2.57070361508,1.1669956748
reduced,30,4,2.8933547921,1.38247822594
reduced,50,2,2.8842449042,0.693422391798
reduced,70,4,3.21867690429,1.24274666857
reduced,90,1,3.63524060785,0.275084955268
reduced,110,2,3.72333921685,0.537152239836
reduced,130,3,3.7422238667,0.801662355556
reduced,150,2,3.6891329441,0.542132807438
reduced,170,2,3.21112456722,0.622834760263
reduced,190,3,3.17569816292,0.944674161741
reduced,210,2,3.32721728712,0.601102911956
reduced,230,0,2.99369521653,0
reduced,250,3,2.67824422157,1.12013683287
reduced,270,3,2.54230908649,1.18002961007
reduced,290,4,2.4132549818,1.65751237651
reduced,310,4,2.18318483529,1.83218568366
reduced,330,4,1.95414650589,2.04692943336
reduced,350,7,2.164207798,3.23443987516
full,10,3,5.01527848449,0.598172167165
full,30,4,4.52554694062,0.883871066301
full,50,2,3.16712873688,0.631486802765
full,70,4,2.94265850875,1.3593150507
full,90,1,2.5342658978,0.394591586016
full,110,2,1.95445907154,1.02330103972
full,130,3,1.64996532694,1.81822002622
full,150,2,1.54491031388,1.29457353092
full,170,2,1.2868292179,1.55420779399
full,190,3,1.69603841944,1.76882785532
full,210,2,2.41200263575,0.829186490245
full,230,0,2.61878977121,0
full,250,3,2.85814095114,1.04963332855
full,270,3,3.38702735024,0.885732440215
full,290,4,3.78019829628,1.05814554859
full,310,4,3.99759799508,1.00060086205
full,330,4,3.30500604544,1.21028522944
full,350,7,4.32415613051,1.61881296344
