history_window_kyr,bin_width_kyr,origin_fraction,response_mode,is_main_analysis_support,n_source_events,n_predictive_events,n_predictive_bins,response_exposure_kyr,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used,gap_counted_as_exposure,ngrip_response_start_kyr_bp,ngrip_response_end_kyr_bp,mis6_response_start_kyr_bp,mis6_response_end_kyr_bp
1.5,0.2,0,common_core,False,55,55,865,173,13.1514027,0.00139382805,0.172486031,-9.09056287,330.033529,4.75999465,True,True,False,False,12,118,132.5,199.5
1.5,0.2,0,maximal_for_history,True,55,55,901,180,13.6732015,0.00107374715,0.179329636,-9.61482065,329.998512,4.9380271,True,True,False,False,12,121.5,132.5,203
