scope,drop_probability,metric,n_replicates,n_valid,n_invalid,n_finite,q025,median,q975,status,range_type
both,0.1,n_deleted,500,500,0,500,1,5,10,ok,extra_deletion_scenario_range
both,0.1,n_response_events,500,500,0,500,43,48,52,ok,extra_deletion_scenario_range
both,0.1,gain_bits_per_event,500,500,0,500,0.159855001179,0.246914653803,0.336037326402,ok,extra_deletion_scenario_range
both,0.1,LR_statistic,500,500,0,500,9.9686347008,16.458606358,22.0692003785,ok,extra_deletion_scenario_range
both,0.1,beta_history,500,500,0,500,-1.36396754032,-0.973611636655,-0.62741376676,ok,extra_deletion_scenario_range
both,0.1,beta_pre_phase_sin,500,500,0,500,-0.725828683385,-0.508957115804,-0.287484037425,ok,extra_deletion_scenario_range
both,0.1,beta_pre_phase_cos,500,500,0,500,0.623883409954,0.826257320216,1.00800657213,ok,extra_deletion_scenario_range
both,0.1,phase_amplitude,500,500,0,500,0.748729080577,0.973449605446,1.18628767278,ok,extra_deletion_scenario_range
both,0.1,pre_phase_rate_ratio_max_vs_min,500,500,0,500,4.47031183711,7.0069268795,10.7249772761,ok,extra_deletion_scenario_range
both,0.1,change__gain_bits_per_event,500,500,0,500,-0.0883685749285,-0.00130892230492,0.0878137502948,ok,extra_deletion_scenario_range
both,0.1,change__LR_statistic,500,500,0,500,-8.2692453235,-1.77927366633,3.83132035422,ok,extra_deletion_scenario_range
both,0.1,change__beta_history,500,500,0,500,-0.400006254828,-0.00965035116667,0.336547518729,ok,extra_deletion_scenario_range
both,0.1,change__beta_pre_phase_sin,500,500,0,500,-0.204629824025,0.012241743556,0.233714821935,ok,extra_deletion_scenario_range
both,0.1,change__beta_pre_phase_cos,500,500,0,500,-0.212926260182,-0.0105523499208,0.171196901998,ok,extra_deletion_scenario_range
both,0.1,change__phase_amplitude,500,500,0,500,-0.237120134584,-0.0123996097144,0.200438457619,ok,extra_deletion_scenario_range
both,0.1,change__pre_phase_rate_ratio_max_vs_min,500,500,0,500,-2.71255389397,-0.175938851575,3.54211154506,ok,extra_deletion_scenario_range
both,0.1,phase_offset_deg,500,500,0,500,-9.04750388435,0.202849562739,11.6819066565,ok,extra_deletion_scenario_range
both,0.2,n_deleted,500,500,0,500,5.475,10.5,16,ok,extra_deletion_scenario_range
both,0.2,n_response_events,500,500,0,500,37,42.5,47.525,ok,extra_deletion_scenario_range
both,0.2,gain_bits_per_event,500,500,0,500,0.122963938343,0.241568473695,0.381398557976,ok,extra_deletion_scenario_range
both,0.2,LR_statistic,500,500,0,500,6.84663484858,14.309112881,22.2554472392,ok,extra_deletion_scenario_range
both,0.2,beta_history,500,500,0,500,-1.63009175617,-1.04028487718,-0.575406858038,ok,extra_deletion_scenario_range
both,0.2,beta_pre_phase_sin,500,500,0,500,-0.788449780516,-0.489932125976,-0.219884274757,ok,extra_deletion_scenario_range
both,0.2,beta_pre_phase_cos,500,500,0,500,0.48648736027,0.799773838714,1.10230130299,ok,extra_deletion_scenario_range
both,0.2,phase_amplitude,500,500,0,500,0.644615779847,0.950991333982,1.27386264605,ok,extra_deletion_scenario_range
both,0.2,pre_phase_rate_ratio_max_vs_min,500,500,0,500,3.62999621027,6.69916519602,12.7781545904,ok,extra_deletion_scenario_range
both,0.2,change__gain_bits_per_event,500,500,0,500,-0.125259637765,-0.00665510241223,0.133174981868,ok,extra_deletion_scenario_range
