replicate_id,seed,fit_valid,invalid_reason,n_response_events,ks_uniform,adjacent_dependence,n_intervals,n_adjacent_pairs,residual_status
82,20260917,True,,63,0.111007823905,0.0968539295018,63,62,ok
83,20260917,True,,69,0.0765653912108,0.139565208879,69,68,ok
84,20260917,True,,59,0.0752849170333,0.081579069566,59,58,ok
85,20260917,True,,56,0.0874464014388,0.0146264136286,56,55,ok
86,20260917,True,,60,0.0576994485128,0.0213754964103,60,59,ok
87,20260917,True,,72,0.0589687581257,0.204223785269,72,71,ok
88,20260917,True,,50,0.0687172862389,0.121248222323,50,49,ok
89,20260917,True,,72,0.0696148865122,0.0637294357971,72,71,ok
90,20260917,True,,57,0.0874881498023,0.0525782888087,57,56,ok
91,20260917,True,,61,0.0773011526007,0.0175489697895,61,60,ok
92,20260917,True,,66,0.0813408272283,0.084468374759,66,65,ok
93,20260917,True,,59,0.0893969681235,0.0447301147618,59,58,ok
94,20260917,True,,77,0.0626118993328,0.0341007756922,77,76,ok
95,20260917,True,,66,0.0837206997742,0.0212649520283,66,65,ok
96,20260917,True,,69,0.0856296126665,0.0696269391166,69,68,ok
97,20260917,True,,61,0.0793861885891,0.083136824526,61,60,ok
98,20260917,True,,70,0.0716926912173,0.0350710467459,70,69,ok
99,20260917,True,,64,0.0719024687928,0.0429163235078,64,63,ok
100,20260917,True,,57,0.0595183361419,0.0362263020384,57,56,ok
101,20260917,True,,60,0.0895345515734,0.0808614782098,60,59,ok
102,20260917,True,,75,0.0632893332107,0.0932556561888,75,74,ok
103,20260917,True,,75,0.100817573437,0.118758529693,75,74,ok
104,20260917,True,,75,0.0760532760231,0.015411971035,75,74,ok
105,20260917,True,,71,0.0718714142587,0.0471268398015,71,70,ok
106,20260917,True,,65,0.0796438923783,0.0023056770149,65,64,ok
107,20260917,True,,65,0.0637584596326,0.0788379413458,65,64,ok
108,20260917,True,,54,0.0933879398321,0.173378327869,54,53,ok
109,20260917,True,,64,0.0519691642627,0.0410148999906,64,63,ok
110,20260917,True,,67,0.0629909237269,0.0451885401922,67,66,ok
111,20260917,True,,63,0.070459663529,0.199381807797,63,62,ok
112,20260917,True,,69,0.0693206203161,0.0477070812399,69,68,ok
113,20260917,True,,69,0.057158106806,0.134743282287,69,68,ok
114,20260917,True,,65,0.0652611789169,0.0438513309269,65,64,ok
