segment_id,event_index,event_coordinate,cumulative_intensity,rescaled_interval,uniform_residual,cumulative_residual
Barker2011,1,4.21856798069,0.606752767294,0.606752767294,0.454881876422,0.393247232706
Barker2011,2,9.08614641995,1.85188941008,1.24513664279,0.712098434231,0.148110589915
Barker2011,3,18.2737007241,3.44653288317,1.59464347308,0.797019116248,-0.446532883168
Barker2011,4,23.659801286,4.17869392356,0.732161040397,0.519131310235,-0.178693923565
Barker2011,5,29.659289894,5.43171602342,1.25302209985,0.714359742225,-0.431716023418
Barker2011,6,45.3411409727,9.29054287131,3.85882684789,0.978907270005,-3.29054287131
Barker2011,7,47.0815228972,9.80947085637,0.518927985058,0.404841775381,-2.80947085637
Barker2011,8,60.2117292242,14.6397249997,4.83025414333,0.992015508197,-6.63972499969
Barker2011,9,60.7205369644,14.7992341883,0.15950918865,0.147437866534,-5.79923418834
Barker2011,10,61.254311569,14.8772550356,0.0780208472821,0.0750548562498,-4.87725503563
Barker2011,11,61.6033180413,14.9057990198,0.028543984188,0.028140453247,-3.90579901981
Barker2011,12,68.5629176941,15.728330537,0.822531517137,0.560681895695,-3.72833053695
Barker2011,13,78.6841053898,16.3620827548,0.633752217802,0.469402854898,-3.36208275475
Barker2011,14,89.5753459256,18.4406175739,2.07853481914,0.874886608283,-4.4406175739
Barker2011,15,94.6332131728,19.0956375381,0.655019964207,0.480568307559,-4.0956375381
Barker2011,16,98.9364792581,19.4306257422,0.334988204138,0.284653475568,-3.43062574224
Barker2011,17,105.034472431,20.4347435932,1.004117851,0.633632316821,-3.43474359324
Barker2011,18,114.987049918,22.2092600245,1.7745164313,0.830434573791,-4.20926002455
Barker2011,19,117.658745923,22.3497785139,0.140518489352,0.131092400754,-3.3497785139
Barker2011,20,119.555446141,22.4270316853,0.0772531713808,0.0743445255359,-2.42703168528
Barker2011,21,132.159325007,25.1422452699,2.71521358466,0.933809185845,-4.14224526994
Barker2011,22,134.479157506,25.7742403999,0.631995129918,0.468469729532,-3.77424039986
Barker2011,23,136.945901614,26.2186641982,0.444423798315,0.35880637354,-3.21866419817
Barker2011,24,138.81913125,26.4399554958,0.221291297585,0.198516823831,-2.43995549576
Barker2011,25,144.587827062,27.0232912944,0.583335798635,0.441966229953,-2.02329129439
Barker2011,26,147.955040911,27.3424583838,0.319167089455,0.273245893787,-1.34245838385
Barker2011,27,152.578282211,28.3853692844,1.04291090055,0.647572693449,-1.38536928439
Barker2011,28,154.011984122,28.723107211,0.337737926626,0.286617778112,-0.72310721102
Barker2011,29,164.437044767,30.1462073157,1.42310010473,0.759034161554,-1.14620731575
Barker2011,30,166.882685237,30.3522122311,0.206004915382,0.186170924008,-0.352212231128
Barker2011,31,169.750354314,30.5615438932,0.209331662054,0.188873828745,0.438456106819
Barker2011,32,179.61587877,32.6692295299,2.10768563669,0.878481119922,-0.66922952987
Barker2011,33,197.387140552,34.364943152,1.69571362216,0.816531744712,-1.36494315203
