composite_event_id,composite_event_number,composite_event_label,source_record,source_event_label,algorithm_config_id,smoothing_sigma_yr,search_half_width_yr,definition_pick_age_ka_bp,chronology_input_lower_approx95_ka_bp,chronology_input_upper_approx95_ka_bp,chronology_sampling_lower_approx95_ka_bp,chronology_sampling_upper_approx95_ka_bp,chronology_half_width_approx95_ka,chronology_sigma_ka,chronology_support_id,source_bound_repair_applied
MIS6_DO_20,20,MIS 6.20,Huagapo,6.12,s100_w300,100.000000,300.000000,190.716951,190.086009,191.347893,190.086009,191.347893,0.630942,0.315471,HUA_P10H2_D503--HUA_P10H2_D595,False
MIS6_DO_21,21,MIS 6.21,Huagapo,6.13,s100_w300,100.000000,300.000000,194.658951,193.959027,195.358876,193.959027,195.358876,0.699924,0.349962,HUA_P10H2_D902--HUA_P10H2_D1005,False
MIS6_DO_17,17,MIS 6.17,Huagapo,6.9,s100_w400,100.000000,400.000000,177.710951,177.118626,178.303277,177.118626,178.303277,0.592325,0.296163,HUA_P10H2_D135--HUA_P10H2_D180,False
MIS6_DO_20,20,MIS 6.20,Huagapo,6.12,s100_w400,100.000000,400.000000,190.716951,190.086009,191.347893,190.086009,191.347893,0.630942,0.315471,HUA_P10H2_D503--HUA_P10H2_D595,False
MIS6_DO_21,21,MIS 6.21,Huagapo,6.13,s100_w400,100.000000,400.000000,194.658951,193.959027,195.358876,193.959027,195.358876,0.699924,0.349962,HUA_P10H2_D902--HUA_P10H2_D1005,False
MIS6_DO_17,17,MIS 6.17,Huagapo,6.9,s100_w500,100.000000,500.000000,177.710951,177.118626,178.303277,177.118626,178.303277,0.592325,0.296163,HUA_P10H2_D135--HUA_P10H2_D180,False
MIS6_DO_20,20,MIS 6.20,Huagapo,6.12,s100_w500,100.000000,500.000000,190.716951,190.086009,191.347893,190.086009,191.347893,0.630942,0.315471,HUA_P10H2_D503--HUA_P10H2_D595,False
MIS6_DO_21,21,MIS 6.21,Huagapo,6.13,s100_w500,100.000000,500.000000,194.658951,193.959027,195.358876,193.959027,195.358876,0.699924,0.349962,HUA_P10H2_D902--HUA_P10H2_D1005,False
MIS6_DO_17,17,MIS 6.17,Huagapo,6.9,s125_w300,125.000000,300.000000,177.715951,177.122966,178.308936,177.122966,178.308936,0.592985,0.296493,HUA_P10H2_D135--HUA_P10H2_D180,False
MIS6_DO_20,20,MIS 6.20,Huagapo,6.12,s125_w300,125.000000,300.000000,190.728951,190.095756,191.362146,190.095756,191.362146,0.633195,0.316597,HUA_P10H2_D503--HUA_P10H2_D595,False
