realization_id,MIS6_DO_01_age_ka_bp,MIS6_DO_02_age_ka_bp,MIS6_DO_03_age_ka_bp,MIS6_DO_04_age_ka_bp,MIS6_DO_05_age_ka_bp,MIS6_DO_06_age_ka_bp,MIS6_DO_07_age_ka_bp,MIS6_DO_08_age_ka_bp,MIS6_DO_09_age_ka_bp,MIS6_DO_10_age_ka_bp,MIS6_DO_11_age_ka_bp,MIS6_DO_12_age_ka_bp,MIS6_DO_13_age_ka_bp,MIS6_DO_14_age_ka_bp,MIS6_DO_15_age_ka_bp,MIS6_DO_16_age_ka_bp,MIS6_DO_17_age_ka_bp,MIS6_DO_18_age_ka_bp,MIS6_DO_19_age_ka_bp,MIS6_DO_20_age_ka_bp,MIS6_DO_21_age_ka_bp
2384,134.840947,138.323418,146.167981,146.756974,148.335788,149.349973,150.362802,151.029177,159.418868,160.836032,164.892188,168.245048,169.426579,170.956496,172.218996,174.468919,177.355827,180.572062,181.028062,190.342367,194.258050
2385,135.636101,138.782015,146.621671,147.254821,148.947234,150.063079,150.912899,151.535297,160.064622,161.039721,165.398425,170.299413,170.952658,172.408265,173.072092,176.181025,177.218710,179.342314,179.863314,190.196301,194.095522
2386,134.665259,138.217801,146.074023,146.649392,148.200725,149.185213,150.237288,150.917787,159.271663,160.769369,164.775367,167.828540,169.081584,170.705321,172.028402,174.082185,177.697691,180.140924,180.596924,190.706543,194.663272
2387,135.483188,138.690933,146.539801,147.161209,148.829409,149.918365,150.803816,151.438764,159.935936,160.954093,165.306779,169.894497,170.653280,172.192799,172.906771,175.846207,177.727893,179.560391,180.016391,190.738717,194.699072
2388,134.780373,138.276191,146.146446,146.727181,148.288422,149.273668,150.322908,150.991276,159.357960,160.805446,164.888378,168.058603,169.291159,171.231584,172.152051,174.322442,177.571572,180.155183,180.611183,190.574782,194.484599
2389,134.595674,138.175969,146.036808,146.606781,148.147230,149.119956,150.187575,150.873669,159.213359,160.742966,164.729098,167.663572,168.944940,170.605837,171.952913,173.929009,177.293624,179.891264,180.412264,190.276104,194.184319
2390,135.534957,138.740631,146.539143,147.181952,148.869321,150.000819,150.858616,151.469196,160.000368,161.099367,165.353659,169.890365,170.789401,171.948703,172.971894,175.996621,177.763746,180.292959,180.770959,190.773188,194.721337
2391,135.609166,138.785242,146.578830,147.227394,148.926371,150.070412,150.911632,151.516246,160.062546,161.127525,165.403003,170.066295,170.935124,172.054797,173.052399,176.159975,178.050325,179.216872,179.694872,191.085998,195.049478
2392,134.628221,138.185341,146.065127,146.633989,148.171307,149.130300,150.214726,150.895047,159.230376,160.748238,164.796895,167.663967,168.992620,171.018152,171.987204,173.988347,177.720573,179.517168,179.973168,190.727200,194.670320
2393,134.654388,138.197265,146.096061,146.653828,148.190795,149.134010,150.212580,150.915550,159.238455,160.489985,164.810052,167.699836,169.030635,171.024963,172.010726,174.031474,177.518140,180.149034,180.627034,190.517726,194.421554
2394,134.677066,138.210773,146.108203,146.667711,148.208269,149.155472,150.228757,150.929867,159.257539,160.502684,164.823644,167.759887,169.075035,171.056918,172.035244,174.081130,177.860423,179.239223,179.695223,190.876167,194.835575
2395,133.729939,137.655522,145.573807,146.076648,147.481680,148.308066,149.569077,150.324773,158.487974,160.414472,164.153441,165.611139,167.244903,169.368120,171.013720,172.023294,177.290915,179.717766,180.238766,190.275094,194.153451
2396,134.888824,138.340947,146.204408,146.793606,148.371899,149.375857,150.400017,151.059866,159.448900,160.846222,164.953585,168.339892,169.503951,171.383714,172.269550,174.560579,177.495995,179.151779,179.629779,190.491683,194.424196
2397,135.472583,138.703134,146.505785,147.143757,148.821370,149.942324,150.814055,151.429649,159.948105,161.075700,165.312185,169.742492,170.666917,171.859528,172.904227,175.859319,178.009621,180.159111,180.615111,191.038833,195.033013
2398,133.847488,137.719166,145.647857,146.155798,147.570361,148.394643,149.659619,150.401273,158.575705,160.454688,164.327473,165.638983,167.460738,169.922977,171.141329,172.274013,177.682588,179.353057,179.831057,190.690455,194.645370
2399,135.561652,138.756679,146.553419,147.198298,148.889843,150.025853,150.877687,151.486121,160.022735,161.109496,165.371410,169.953652,170.841822,171.986868,173.000854,176.055384,177.855217,179.853029,180.309029,190.874351,194.849992
2400,134.813152,138.295764,146.163965,146.747257,148.313653,149.304554,150.346214,151.012007,159.385447,160.817770,164.908086,168.143622,169.355475,171.277565,172.187565,174.394419,177.896555,180.015803,180.471803,190.921801,194.868045
2401,134.659724,138.204152,146.081964,146.653284,148.195556,149.159985,150.237126,150.914972,159.256792,160.760083,164.815837,167.745677,169.054433,171.062344,172.021335,174.057522,177.530935,180.086402,180.607402,190.525199,194.446234
2402,135.013495,138.411164,146.288327,146.873669,148.467498,149.473860,150.468754,151.142251,159.540664,160.691077,165.025277,168.650752,169.733704,171.530970,172.398970,174.817772,177.337121,179.243456,179.764456,190.318750,194.217213
2403,134.650684,138.198754,146.077132,146.647747,148.188598,149.151466,150.230698,150.909254,159.249212,160.756684,164.810401,167.722230,169.036695,171.049662,172.011541,174.037671,178.107100,180.074233,180.530233,191.142674,195.148557
2404,135.168848,138.520540,146.343345,146.957765,148.587868,149.657481,150.597061,151.237074,159.693611,160.960451,165.110221,169.022417,170.070476,171.425288,172.574720,175.190718,177.674518,180.752322,181.208322,190.678142,194.615899
2405,134.836271,138.305602,146.193441,146.765174,148.330941,149.306140,150.342329,151.030371,159.391520,160.591835,164.919061,168.181462,169.386731,171.281249,172.207366,174.429724,178.099799,179.607273,180.085273,191.138827,195.107853
2406,134.324151,138.012739,145.891595,146.440514,147.938491,148.865320,149.993593,150.701516,158.985854,160.639939,164.548552,167.019859,168.411751,170.217647,171.658350,173.331312,177.494123,180.062631,180.583631,190.485988,194.402736
2407,134.864271,138.326286,146.191285,146.778567,148.353000,149.352721,150.382560,151.044337,159.428311,160.836991,164.938822,168.276208,169.455775,171.349271,172.242948,174.506665,177.367354,180.760430,181.238430,190.354645,194.271713
2408,134.676646,138.224646,146.080112,146.656364,148.209478,149.195891,150.245422,150.925007,159.281204,160.773690,164.782939,167.855534,169.103943,170.721600,172.040755,174.107249,177.936159,179.847063,180.368063,190.964091,194.914774
