knot_spacing_ka,catalogue_id,catalogue_label,n_events,n_ngrip_events,n_mis6_events,n_realizations,n_valid,n_invalid,robustness_denominator,robustness_denominator_definition,n_realizations_with_response_event_loss,n_predictive_events_min,n_predictive_events_max,point_LR_statistic,point_nominal_LR_p,point_info_bits_per_event,point_delta_AICc_full_minus_reduced,point_pre_phase_preferred_deg,point_pre_phase_rate_ratio_max_vs_min,n_nominal_p_below_0p05,fraction_nominal_p_below_0p05,n_delta_AICc_below_zero,fraction_delta_AICc_below_zero,fraction_nominal_p_below_0p05_all_draws_lower_bound,fraction_delta_AICc_below_zero_all_draws_lower_bound,significance_fraction_is_empirical_p,LR_statistic_q025,LR_statistic_median,LR_statistic_q975,nominal_LR_p_q025,nominal_LR_p_median,nominal_LR_p_q975,info_bits_per_event_q025,info_bits_per_event_median,info_bits_per_event_q975,delta_AICc_full_minus_reduced_q025,delta_AICc_full_minus_reduced_median,delta_AICc_full_minus_reduced_q975,pre_phase_rate_ratio_max_vs_min_q025,pre_phase_rate_ratio_max_vs_min_median,pre_phase_rate_ratio_max_vs_min_q975,pre_phase_preferred_deg_q025,pre_phase_preferred_deg_median,pre_phase_preferred_deg_q975,phase_quantiles_unwrapped_about_point,experiment
2.5,ngrip_warming_plus_mis6,NGRIP warming + MIS 6 transitions,55,34,21,2000,1993,7,1993,valid fits within observation support,20,54,55,13.6732014732,0.00107374715251,0.179329635985,-9.61482064649,329.998511798,4.93802709606,1959,0.982940291019,1991,0.998996487707,0.9795,0.9955,False,6.44746606461,12.3103170368,16.6162397866,0.000246511308889,0.00212250450265,0.0398062006951,0.084981841223,0.161454848552,0.21792878853,-12.5578589599,-8.25193621012,-2.38908523795,2.90390067365,4.50236262509,5.9655985535,316.226911043,330.160681862,343.857605121,True,2000-draw correlation-scale screening
5.0,ngrip_warming_plus_mis6,NGRIP warming + MIS 6 transitions,55,34,21,2000,1997,3,1997,valid fits within observation support,22,54,55,13.6732014732,0.00107374715251,0.179329635985,-9.61482064649,329.998511798,4.93802709606,1965,0.983975963946,1993,0.997996995493,0.9825,0.9965,False,6.47286656349,12.2907962049,16.6422458948,0.000243322764248,0.00214332246011,0.0393062837251,0.0848942953771,0.161198824849,0.218269869288,-12.5838650681,-8.23241537825,-2.41448573682,2.89829875672,4.50907373874,5.98937476993,316.02418939,330.095062691,343.537622733,True,2000-draw correlation-scale screening
10.0,ngrip_warming_plus_mis6,NGRIP warming + MIS 6 transitions,55,34,21,2000,1997,3,1997,valid fits within observation support,10,54,55,13.6732014732,0.00107374715251,0.179329635985,-9.61482064649,329.998511798,4.93802709606,1977,0.989984977466,1997,1.0,0.9885,0.9985,False,6.79490460489,12.3731126314,16.2358544613,0.000298147569315,0.00205689787782,0.0334585249613,0.0891179561526,0.162278438488,0.212939879235,-12.1774736346,-8.31473180477,-2.73652377822,2.9875508002,4.52701481885,5.85084026138,316.299416915,329.971973312,342.890900425,True,2000-draw correlation-scale screening
