catalogue,comparison_id,driver_id,comparison_group,reduced_model_id,full_model_id,df,n_events,n_bins,exposure_kyr,point_fit_valid,point_invalid_reason,holm_nominal_p_point,n_mc_total,n_mc_valid,n_mc_invalid,info_bits_per_event_point,info_bits_per_event_q025,info_bits_per_event_median,info_bits_per_event_q975,LR_statistic_point,LR_statistic_q025,LR_statistic_median,LR_statistic_q975,nominal_p_point,nominal_p_q025,nominal_p_median,nominal_p_q975,delta_AIC_point,delta_AIC_q025,delta_AIC_median,delta_AIC_q975,delta_AICc_point,delta_AICc_q025,delta_AICc_median,delta_AICc_q975,comparison,range
Barker,phase_reference,pre,reference,B,BP,2,70,1993,398.5,True,,,500,500,0,0.0893604569524677,0.0542618563382714,0.0777927645056653,0.1058941193862544,8.671592830621194,5.265603382595032,7.549056953909201,10.276029440664466,0.0130914436938905,0.0058696151619686,0.0229479158357203,0.0719036689323393,-4.671592830621194,-6.276029440664468,-3.5490569539092007,-1.265603382595034,-4.649417482459739,-6.253854092503014,-3.5268816057477466,-1.24342803443358,BG + Pre vs BG,"0.078 [0.054, 0.106]"
Barker,ecc_after_base,ecc,driver_after_base,B,B_ecc,1,70,1993,398.5,True,,1.0,500,500,0,0.0109732765778451,0.0075453749083199,0.0102365658284565,0.0131336997882993,1.0648534010013009,0.7322077481557642,0.9933625439655316,1.274502177001264,0.302110841104263,0.2589258619639872,0.3189219945745166,0.3921688814467637,0.9351465989986992,0.7254978229987359,1.0066374560344684,1.2677922518442355,0.9452221504452608,0.7355733744452977,1.0167130074810302,1.2778678032907975,BG + Ecc vs BG,"0.010 [0.008, 0.013]"
Barker,ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,70,1993,398.5,True,,1.0,500,500,0,0.0050378410350891,0.0031225908457808,0.0052353947721197,0.008547407032695,0.4888751433413745,0.3030181057113396,0.5080458775578336,0.8294455520135159,0.4844295067252966,0.362433027803408,0.4759860067130168,0.5819966184345919,1.5111248566586255,1.170554447986484,1.4919541224421664,1.6969818942886603,1.5252519579546515,1.18468154928251,1.5060812237381924,1.7111089955846863,BG + Pre + Ecc vs BG + Pre,"0.005 [0.003, 0.009]"
Barker,phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,70,1993,398.5,True,,0.1396849506388678,500,500,0,0.0834250214097117,0.049875440921832,0.0730107014814083,0.1000380098743575,8.095614572961267,4.839942975581283,7.085002663555883,9.707749029053442,0.0174606188298584,0.0077981256050742,0.0289408470523375,0.0889592612595939,-4.095614572961267,-5.707749029053443,-3.0850026635558834,-0.8399429755812858,-4.069387674950349,-5.681522131042525,-3.058775765544965,-0.8137160775703675,BG + Pre + Ecc vs BG + Ecc,"0.073 [0.050, 0.100]"
Barker,obl_after_base,obl,driver_after_base,B,B_obl,1,70,1993,398.5,True,,1.0,500,500,0,0.000671939230523,4.124345536804529e-06,0.0004947768080607,0.0020200240905951,0.0652053896402549,0.0004002289872687,0.0480134409319248,0.1960243604282906,0.798450112832015,0.6579765976274259,0.8265568261903578,0.9843721457529192,1.934794610359745,1.8039756395717093,1.9519865590680752,1.9995997710127311,1.944870161806307,1.814051191018271,1.962062110514637,2.009675322459293,BG + Obl vs BG,"0.000 [0.000, 0.002]"
Barker,obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,70,1993,398.5,True,,1.0,500,500,0,0.0024301192876364,0.000333160432918,0.0020554192703284,0.005021716574659,0.2358202465709382,0.0323300900651815,0.199459130093544,0.4873104159414538,0.627241387169184,0.485129587133397,0.6551577752899505,0.8573078378940462,1.7641797534290615,1.512689584058546,1.800540869906456,1.9676699099348185,1.7783068547250878,1.5268166853545722,1.814667971202482,1.9817970112308445,BG + Pre + Obl vs BG + Pre,"0.002 [0.000, 0.005]"
Barker,phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,70,1993,398.5,True,,0.1081886013117284,500,500,0,0.0911186370095811,0.0554205436069496,0.0792879772317548,0.1084970313512762,8.842207687551877,5.378043096475935,7.69415330186888,10.528617593236552,0.0120209557013031,0.0051733921536943,0.0213420382945691,0.0679547302990169,-4.842207687551877,-6.528617593236552,-3.69415330186888,-1.378043096475936,-4.8159807895409585,-6.502390695225634,-3.6679264038579618,-1.3518161984650177,BG + Pre + Obl vs BG + Obl,"0.079 [0.055, 0.108]"
Barker,insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,70,1993,398.5,True,,0.1714791076392822,500,500,0,0.052133803231432,0.030414525433872,0.0476603948808162,0.0689817009805776,5.059095821042774,2.9514439573580034,4.624993567041599,6.69402601628832,0.0244970153770403,0.0096776858363176,0.0315093843653378,0.0858013310711162,-3.0590958210427743,-4.694026016288322,-2.6249935670415994,-0.9514439573580036,-3.0490202695962125,-4.68395046484176,-2.6149180155950376,-0.941368405911442,BG + Insol vs BG,"0.048 [0.030, 0.069]"
Barker,insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,70,1993,398.5,True,,1.0,500,500,0,0.0010771402609992,1.0928072461097995e-05,0.0006925653444121,0.0042697390124908,0.1045263428970884,0.001060466766151,0.0672069602165947,0.414338058152876,0.7464640102215119,0.5197758825614074,0.795448229993408,0.974022371754108,1.8954736571029116,1.585661941847124,1.9327930397834052,1.9989395332338489,1.9096007583989376,1.59978904314315,1.9469201410794312,2.013066634529875,BG + Pre + Insol vs BG + Pre,"0.001 [0.000, 0.004]"
Barker,phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,70,1993,398.5,True,,0.935426964865734,500,500,0,0.0383037939820348,0.0176354689774961,0.0310559844241784,0.0488790366970709,3.717023352475507,1.7113565839445355,3.013691526038599,4.743251306508511,0.155904494144289,0.0933302435133828,0.2216079445813237,0.4249948924068406,0.2829766475244923,-0.7432513065085118,0.986308473961401,2.2886434160554643,0.3092035455354107,-0.7170244084975934,1.0125353719723194,2.3148703140663827,BG + Pre + Insol vs BG + Insol,"0.031 [0.018, 0.049]"
