catalogue,comparison_id,driver_id,comparison_group,reduced_model_id,full_model_id,df,n_events,n_bins,exposure_kyr,point_fit_valid,point_invalid_reason,holm_nominal_p_point,n_mc_total,n_mc_valid,n_mc_invalid,info_bits_per_event_point,info_bits_per_event_q025,info_bits_per_event_median,info_bits_per_event_q975,LR_statistic_point,LR_statistic_q025,LR_statistic_median,LR_statistic_q975,nominal_p_point,nominal_p_q025,nominal_p_median,nominal_p_q975,delta_AIC_point,delta_AIC_q025,delta_AIC_median,delta_AIC_q975,delta_AICc_point,delta_AICc_q025,delta_AICc_median,delta_AICc_q975,comparison,range
Primary,phase_reference,pre,reference,B,BP,2,55,901,180.0,True,,,500,499,1,0.1793296359853951,0.0858357093312335,0.1639560938116929,0.2173832655718852,13.673201473152972,6.533574766142053,12.501027457731652,16.574645739527266,0.0010737471525146,0.0002516935289321,0.0019294626609103,0.0381288498186828,-9.673201473152972,-12.574645739527266,-8.501027457731652,-2.5335747661420527,-9.614820646487487,-12.516264912861782,-8.442646631066168,-2.4751939394765685,BG + Pre vs BG,"0.164 [0.086, 0.217]"
Primary,ecc_after_base,ecc,driver_after_base,B,B_ecc,1,55,901,180.0,True,,0.4247889960473189,500,499,1,0.0389187907579288,0.0075551634490823,0.0329570507856763,0.0562691890368055,2.967409509312688,0.5760524267741062,2.512849551482873,4.2903112706582,0.0849577992094638,0.0383310838415587,0.1129215803032604,0.4478640382305738,-0.967409509312688,-2.2903112706581994,-0.5128495514828728,1.423947573225894,-0.9404888839143268,-2.2633906452598382,-0.4859289260845116,1.450868198624255,BG + Ecc vs BG,"0.033 [0.008, 0.056]"
Primary,ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,55,901,180.0,True,,0.9592663578119872,500,499,1,0.0124896513364525,5.827028490004339e-05,0.0108266195610753,0.0272498238230484,0.95228832710427,0.0044428872057778,0.8254884906129973,2.0776952409071416,0.3291375065546644,0.1494836203292622,0.3635803315693514,0.947169513077612,1.04771167289573,-0.0776952409071412,1.1745115093870029,1.9955571127942224,1.0837267176634668,-0.0416801961394042,1.2105265541547396,2.031572157561959,BG + Pre + Ecc vs BG + Pre,"0.011 [0.000, 0.027]"
Primary,phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,55,901,180.0,True,,0.0205862892242318,500,499,1,0.1529004965639188,0.0767647999651464,0.140455946527719,0.1887350399213367,11.658080290944554,5.853023512829842,10.709230766142356,14.390327687377756,0.0029408984606045,0.0007503766923509,0.0047262869579446,0.0536064714014055,-7.658080290944554,-10.390327687377756,-6.709230766142355,-1.85302351282984,-7.590605044909694,-10.322852441342896,-6.641755520107495,-1.7855482667949802,BG + Pre + Ecc vs BG + Ecc,"0.140 [0.077, 0.189]"
Primary,obl_after_base,obl,driver_after_base,B,B_obl,1,55,901,180.0,True,,0.9592663578119872,500,499,1,0.0001220455198593,9.903769613750588e-07,0.0004190743780473,0.0045582734629162,0.0093055058789559,7.551246983155126e-05,0.0319528245947253,0.3475509838945811,0.9231512304696184,0.555503779714677,0.8581312349297263,0.9930719822520268,1.990694494121044,1.6524490161054188,1.9680471754052744,1.9999244875301685,2.017615119519405,1.67936964150378,1.994967800803636,2.0268451129285294,BG + Obl vs BG,"0.000 [0.000, 0.005]"
Primary,obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,55,901,180.0,True,,0.9592663578119872,500,499,1,0.0129835535919887,0.0021126261697916,0.0131263928851845,0.0340583156655068,0.9899464922529546,0.1610796960485089,1.0008374441216574,2.5968168025983323,0.3197554526039957,0.1070879606909213,0.3171079557151047,0.6881740514381767,1.0100535077470454,-0.5968168025983317,0.9991625558783426,1.8389203039514912,1.0460685525147824,-0.5608017578305947,1.0351776006460796,1.874935348719228,BG + Pre + Obl vs BG + Pre,"0.013 [0.002, 0.034]"
Primary,phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,55,901,180.0,True,,0.0059183555201882,500,499,1,0.1921911440575245,0.0913166128955163,0.1794834466494582,0.236294649775097,14.65384245952697,6.9625438043492185,13.684928950247864,18.0165667300309,0.0006575950577986,0.0001223982626909,0.0010674694034733,0.030768880408276,-10.65384245952697,-14.0165667300309,-9.684928950247864,-2.962543804349218,-10.58636721349211,-13.94909148399604,-9.617453704213004,-2.895068558314358,BG + Pre + Obl vs BG + Obl,"0.179 [0.091, 0.236]"
Primary,insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,55,901,180.0,True,,0.0179033576076053,500,499,1,0.1225422996524712,0.0420208099335622,0.1081694189839478,0.1464612276787119,9.343383445378665,3.203926652332342,8.247506057068392,11.167110572953211,0.0022379197009506,0.0008326026643197,0.004080802935146,0.0734636480602247,-7.343383445378663,-9.167110572953211,-6.247506057068392,-1.2039266523323418,-7.316462819980302,-9.14018994755485,-6.220585431670031,-1.1770060269339806,BG + Insol vs BG,"0.108 [0.042, 0.146]"
Primary,insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,55,901,180.0,True,,0.784668334619945,500,499,1,0.0219116909970034,0.0005777118942197,0.0191016117001907,0.0418973601803411,1.6706829519461053,0.0440483307719802,1.4564251123551912,3.1945140790098754,0.1961670836549862,0.0739034712225513,0.2274997803642568,0.8343266849555552,0.3293170480538947,-1.1945140790098747,0.5435748876448088,1.95595166922802,0.3653320928216317,-1.1584990342421375,0.5795899324125457,1.9919667139957569,BG + Pre + Insol vs BG + Pre,"0.019 [0.001, 0.042]"
Primary,phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,55,901,180.0,True,,0.2986475926433218,500,499,1,0.0786990273299273,0.0402198113207503,0.0721563124834781,0.126706931466733,6.000500979720414,3.0359549914759074,5.501643901327782,9.660920753392508,0.0497745987738869,0.0079833240255584,0.0638753372477561,0.2191780795911589,-2.000500979720414,-5.660920753392506,-1.5016439013277818,0.9640450085240936,-1.933025733685554,-5.593445507357646,-1.4341686552929218,1.0315202545589537,BG + Pre + Insol vs BG + Insol,"0.072 [0.040, 0.127]"
