catalogue,catalogue_id,n_source_events,n_predictive_events,n_predictive_bins,response_exposure_kyr,history_window_kyr,bin_width_kyr,origin_fraction,response_mode,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,mis6_vs_ngrip_rate_ratio_full,all_models_converged,likelihood_nesting_ok,eta_clipping_used,catalogue_label,n_ngrip_events,n_mis6_events,rayleigh_role,rayleigh_mean_phase_deg,rayleigh_mean_resultant_length,rayleigh_R,rayleigh_z,rayleigh_p,rayleigh_significant_0p05,pi_role,resolution_covariate_included,age_uncertainty_propagated,event_membership,dataset_id,age_scale,event_definition,analysis_start_ka,analysis_end_ka,bin_width_ka,history_window_ka,bin_origin_fraction,n_rayleigh_events,n_pi_bins,pi_support_start_ka,pi_support_end_ka,event_age_epoch
Primary,ngrip_warming_plus_mis6,55.0,55,901.0,180.0,1.5,0.2,0.0,maximal_for_history,-205.835622,-198.999021,6.83660074,13.6732015,0.00107374715,0.179329636,-9.61482065,329.998512,4.9380271,0.792560942,True,True,False,NGRIP warming + MIS 6 transitions,34.0,21.0,descriptive,339.981582,0.227115729,12.4913651,2.83698549,0.05795892,False,primary,False,False,published events only,,,,,,,,,,,,,
Barker,,,70,,398.5,,,,maximal_for_history,,,,8.67159283062,0.0130914436939,0.0893604569525,-4.64941748246,336.907088699,2.88475328064,,True,True,False,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",,,,0.830024149361,0.190011796225,,,0.0794887546994,,,False,False,,barker_variable_threshold_speleo_0_400,SpeleoAge,variable_threshold,0.0,400.0,0.2,1.5,0.0,70.0,1993.0,0.0,398.5,BP1950 assumed; exact SpeleoAge epoch not directly verified
