catalogue,catalogue_id,n_source_events,n_predictive_events,n_predictive_bins,response_exposure_kyr,history_window_kyr,bin_width_kyr,origin_fraction,response_mode,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,mis6_vs_ngrip_rate_ratio_full,all_models_converged,likelihood_nesting_ok,eta_clipping_used,bootstrap_null,n_bootstrap,n_bootstrap_exceeding_or_equal_observed,empirical_p_plus_one,empirical_p_mc_se,empirical_p_ci95_low,empirical_p_ci95_high,empirical_p_ci_method,bootstrap_LR_mean,bootstrap_LR_median,bootstrap_LR_q95,bootstrap_LR_q99,bootstrap_response_event_count_mean,bootstrap_response_event_count_q025,bootstrap_response_event_count_q975,n_rejected_attempts,rejected_attempt_reasons,dataset_id,event_definition,n_events_observation_support,n_events_response,reduced_converged,full_converged,seed,n_response_bins,age_uncertainty_propagated
Primary,ngrip_warming_plus_mis6,55.0,55.0,901.0,180.0,1.5,0.2,0.0,maximal_for_history,-205.83562150012648,-198.99902076355,6.836600736576486,13.673201473152972,0.0010737471525146,0.1793296359853951,-9.614820646487487,329.99851179797105,4.938027096057828,0.7925609418427272,True,True,False,fitted reduced model with dynamic event history,9999,21,0.0022,0.000468525346166,0.0013005185716574,0.003208611828181,Clopper-Pearson exact binomial,2.199692736987712,1.5242298255229798,6.47573118980396,10.109542591470891,54.97839783978398,42.0,69.0,0,none,,,,,,,,,
Barker,,,,,398.5,,,,,-298.2019648631069,-293.8661684477963,4.335796415310597,8.671592830621194,0.0130914436938905,0.0893604569524677,,,,,,True,False,,9999,137,0.0138,0.0011666001885821,0.011515322657893,0.0161769959686143,Clopper-Pearson interval for null exceedance probability,2.050299418557611,,6.125223429175871,9.319412455851015,69.56745674567456,55.0,84.0,0,,barker_variable_threshold_speleo_0_400,variable_threshold,70.0,70.0,True,True,20260909.0,1993.0,False
