catalogue,n_mc_total,n_mc_valid,n_mc_invalid,comparison_id,df,loglik_full,loglik_interaction,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,n_bins,exposure_kyr,info_bits_per_event_point,info_bits_per_event_q025,info_bits_per_event_median,info_bits_per_event_q975,LR_statistic_point,LR_statistic_q025,LR_statistic_median,LR_statistic_q975,nominal_p_point,nominal_p_q025,nominal_p_median,nominal_p_q975,delta_AIC_point,delta_AIC_q025,delta_AIC_median,delta_AIC_q975,delta_AICc_point,delta_AICc_q025,delta_AICc_median,delta_AICc_q975,mc_nominal_p_below_0p05_fraction
Primary,500,499,1,lr04_phase_interaction,2,-198.99902076355,-198.0135780232102,True,,True,55,901,180.0,0.0258489700830594,0.0002577127957847,0.0216409371226935,0.09586497749341,1.9708854806796128,0.0196496187571654,1.6500390006397083,7.309339275039976,0.3732739269216226,0.0258903842189883,0.4382264468257466,0.9902233594191836,2.029114519320387,-3.3093392750399744,2.3499609993602917,3.9803503812428342,2.1057147885298377,-3.232739005830524,2.426561268569742,4.0569506504522845,0.0581162324649298
Barker,500,500,0,lr04_phase_interaction,2,-293.8661684477963,-291.14296216020557,True,,True,70,1993,398.5,0.0561250886632118,0.0278095618980178,0.0501471844302919,0.0780055547296,5.446412575181512,2.698656719110565,4.866313130122705,7.569706246037147,0.0656638792626065,0.0227152641800217,0.087759770969449,0.2594162491017465,-1.4464125751815118,-3.5697062460371485,-0.8663131301227054,1.3013432808894347,-1.416128002527671,-3.5394216733833077,-0.8360285574688646,1.3316278535432755,0.214
