realization_id,ngrip_realization_id,mis6_realization_id,age_kyr_bp__NGRIP:GI-1,age_kyr_bp__NGRIP:GI-2.1,age_kyr_bp__NGRIP:GI-2.2,age_kyr_bp__NGRIP:GI-3,age_kyr_bp__NGRIP:GI-4,age_kyr_bp__NGRIP:GI-5.1,age_kyr_bp__NGRIP:GI-5.2,age_kyr_bp__NGRIP:GI-6,age_kyr_bp__NGRIP:GI-7,age_kyr_bp__NGRIP:GI-8,age_kyr_bp__NGRIP:GI-9,age_kyr_bp__NGRIP:GI-10,age_kyr_bp__NGRIP:GI-11,age_kyr_bp__NGRIP:GI-12,age_kyr_bp__NGRIP:GI-13,age_kyr_bp__NGRIP:GI-14,age_kyr_bp__NGRIP:GI-15.1,age_kyr_bp__NGRIP:GI-15.2,age_kyr_bp__NGRIP:GI-16.1,age_kyr_bp__NGRIP:GI-16.2,age_kyr_bp__NGRIP:GI-17.1,age_kyr_bp__NGRIP:GI-17.2,age_kyr_bp__NGRIP:GI-18,age_kyr_bp__NGRIP:GI-19.1,age_kyr_bp__NGRIP:GI-19.2,age_kyr_bp__NGRIP:GI-20,age_kyr_bp__NGRIP:GI-21.1,age_kyr_bp__NGRIP:GI-21.2,age_kyr_bp__NGRIP:GI-22,age_kyr_bp__NGRIP:GI-23.1,age_kyr_bp__NGRIP:GI-23.2,age_kyr_bp__NGRIP:GI-24.1,age_kyr_bp__NGRIP:GI-24.2,age_kyr_bp__NGRIP:GI-25,age_kyr_bp__MIS6:MIS6_DO_01,age_kyr_bp__MIS6:MIS6_DO_02,age_kyr_bp__MIS6:MIS6_DO_03,age_kyr_bp__MIS6:MIS6_DO_04,age_kyr_bp__MIS6:MIS6_DO_05,age_kyr_bp__MIS6:MIS6_DO_06,age_kyr_bp__MIS6:MIS6_DO_07,age_kyr_bp__MIS6:MIS6_DO_08,age_kyr_bp__MIS6:MIS6_DO_09,age_kyr_bp__MIS6:MIS6_DO_10,age_kyr_bp__MIS6:MIS6_DO_11,age_kyr_bp__MIS6:MIS6_DO_12,age_kyr_bp__MIS6:MIS6_DO_13,age_kyr_bp__MIS6:MIS6_DO_14,age_kyr_bp__MIS6:MIS6_DO_15,age_kyr_bp__MIS6:MIS6_DO_16,age_kyr_bp__MIS6:MIS6_DO_17,age_kyr_bp__MIS6:MIS6_DO_18,age_kyr_bp__MIS6:MIS6_DO_19,age_kyr_bp__MIS6:MIS6_DO_20,age_kyr_bp__MIS6:MIS6_DO_21
joint_06578,NGRIP_07325,7812,14.761914,22.588115,22.843369,27.203287,28.291382,30.280602,31.938403,33.270361,35.069065,37.785749,39.701138,40.993329,42.787653,46.381889,48.915396,53.796766,54.555758,55.216214,57.029609,57.190134,57.845608,58.18294,62.422525,68.182302,70.777041,74.557083,82.311246,82.587348,88.371865,101.936299,102.416325,104.853701,106.588147,112.709653,134.603538,138.166976,146.068836,146.622698,148.151613,149.085886,150.176305,150.883449,159.195661,160.46151,164.779576,167.565184,168.931079,170.953311,171.95575,173.920133,176.355307,179.363069,180.123708,191.834799,195.409403
joint_02991,NGRIP_06811,3692,14.777433,23.275208,23.642903,28.362789,29.557834,31.670608,33.534756,34.975866,36.860228,39.532155,41.423674,42.808574,44.730546,47.970925,49.979144,54.455414,55.163421,55.91647,58.154385,58.343322,59.122587,59.48068,64.399392,70.606528,73.431442,77.64632,85.069934,85.282049,90.258519,104.442262,104.972997,107.164737,108.599338,115.674626,134.874759,138.343745,146.186065,146.777679,148.361782,149.381683,150.386958,151.050615,159.4472,160.848862,164.914671,168.32521,169.492977,171.004837,172.255678,174.54335,176.319218,180.123221,180.250896,190.809504,193.877052
joint_08296,NGRIP_08585,4467,14.581291,22.539834,22.903948,27.391875,28.518862,30.47639,32.32613,33.673222,35.513519,38.241629,40.174607,41.636771,43.648846,47.444366,50.17756,54.98977,55.736036,56.646891,59.168618,59.425319,60.340477,60.790132,65.514695,70.49828,73.209693,77.475183,86.807546,87.12131,92.527279,106.285504,106.712695,108.42934,109.604378,115.810816,134.877911,138.330404,146.215735,146.790665,148.363025,149.345546,150.372033,151.056658,159.426561,160.615152,164.944016,168.291723,169.468253,171.339922,172.252384,174.520897,176.490866,179.841419,180.127924,191.230646,194.562745
joint_09493,NGRIP_00673,262,14.730501,23.037375,23.366457,27.629961,28.853047,30.893911,32.770855,34.191596,36.053003,38.703215,40.590158,41.9274,43.893182,47.416061,49.742801,54.941365,55.756392,56.565824,58.86057,59.118194,59.979575,60.339851,65.381477,71.155184,73.946898,78.210423,86.017902,86.266559,90.955614,105.08654,105.473429,107.67999,109.163926,117.267665,135.125696,138.477996,146.348399,146.942357,148.553951,149.580044,150.548794,151.213083,159.635086,160.753906,165.092522,168.947858,169.953373,171.689068,172.520274,175.063445,176.945262,180.137532,180.439349,191.367251,194.769638
joint_03910,NGRIP_06022,6800,14.623372,22.851956,23.203477,27.748645,28.948562,30.960174,32.336855,33.450913,35.099835,37.90277,39.819749,41.00265,42.745895,45.70864,47.555615,52.765139,53.613738,54.439509,56.678072,56.895091,57.697167,58.06637,63.00474,68.786269,71.938511,76.110988,83.664665,83.954516,88.650465,103.521573,103.882245,106.459935,108.386567,116.450883,134.723361,138.25273,146.105096,146.68497,148.245391,149.2397,150.278796,150.954625,159.320345,160.791415,164.814001,167.966282,169.195676,170.788387,172.091433,174.21008,176.235973,179.195446,179.813652,191.182343,194.282544
joint_00852,NGRIP_08409,1124,14.708758,23.02513,23.346637,27.28054,28.24021,30.089893,31.758246,32.981482,34.814403,37.345315,39.222848,40.629995,42.698021,46.149709,48.306725,53.219586,54.043078,54.804103,56.996144,57.198885,57.959622,58.336761,63.530102,69.162882,71.75238,75.362713,83.091838,83.393766,87.812499,100.808134,101.235757,103.444828,104.957489,112.614172,135.376464,138.627364,146.482661,147.095874,148.747176,149.817365,150.727683,151.371391,159.846122,160.89433,165.242816,169.611893,170.444334,172.042418,172.791388,175.612526,177.008881,179.801103,180.42252,191.122859,194.28389
joint_02025,NGRIP_08466,5767,14.422304,23.10119,23.460105,28.031592,29.230304,31.061734,32.608846,33.770254,35.383368,37.870377,39.665648,40.938734,42.717805,46.106849,48.376986,53.246121,53.991278,54.737881,56.699341,56.89444,57.630101,57.976855,61.989887,67.647369,70.419239,74.231527,80.42115,80.658687,85.808111,100.222825,100.65263,102.494043,103.656236,111.382423,134.407818,138.050397,145.964047,146.50288,148.000805,148.900662,150.036685,150.759892,159.030952,160.351912,164.662275,167.046918,168.547894,170.677529,171.74415,173.491586,176.835415,180.130732,180.318866,191.322409,194.654602
joint_02979,NGRIP_01634,625,14.896355,23.45078,23.740856,28.127128,29.257033,30.99877,32.661712,33.784078,35.426129,37.903182,39.735704,41.088316,43.14736,46.887497,49.31773,54.304899,55.089948,55.806502,57.857442,58.090314,58.809393,59.18832,63.305987,68.912066,71.694556,75.813916,84.396412,84.713207,88.52213,101.303009,101.752905,103.879709,105.337276,112.30262,134.760805,138.27524,146.125121,146.707899,148.274177,149.274816,150.305547,150.978365,159.351719,160.805623,164.838899,168.055053,169.269205,170.84192,172.132055,174.292506,176.736732,179.477922,180.443835,191.143106,194.323518
joint_07611,NGRIP_03802,2654,14.717043,23.249546,23.624729,27.925269,28.960125,30.999971,32.632493,33.881591,35.709096,38.707916,40.788708,42.061735,43.849241,47.327601,49.706654,55.036063,55.907509,56.779938,59.326643,59.624397,60.475074,60.964427,65.184308,70.222844,72.552688,75.953281,84.519204,84.892305,91.314588,103.911501,104.381056,106.969143,108.827289,116.358492,134.263958,137.96784,145.870443,146.410882,147.890927,148.787069,149.955733,150.66467,158.924929,160.611278,164.57788,166.719181,168.277898,170.507182,171.592548,173.188499,176.696984,180.094728,180.477872,191.092742,194.450345
joint_09760,NGRIP_02183,3926,14.649839,22.874902,23.193254,27.339762,28.340226,30.058338,31.663594,32.78044,34.482608,37.275871,39.271123,40.658687,42.711383,46.503248,49.122146,52.940922,53.555783,54.338054,56.388411,56.618689,57.364811,57.678886,62.044335,67.824317,70.382292,73.885443,82.415158,82.790656,88.154316,102.211034,102.756522,104.973921,106.5109,114.501271,134.288389,137.991241,145.87247,146.418615,147.910999,148.831782,149.968044,150.678843,158.95589,160.62637,164.524773,166.935078,168.341526,170.16652,171.619554,173.252591,176.702755,179.899225,180.031192,191.192791,194.639022
joint_00178,NGRIP_01117,99,14.655925,22.618251,22.953946,27.447718,28.510681,30.446005,32.139654,33.380989,35.178199,38.303515,40.508959,41.876549,43.778902,47.420877,49.924737,54.597513,55.321694,56.152207,58.537941,58.780693,59.606846,59.981194,63.654942,69.793121,72.712351,76.827092,85.163533,85.492061,90.717269,102.835853,103.304693,105.555887,107.113921,114.419892,134.617103,138.188851,146.048268,146.619903,148.163704,149.140051,150.202883,150.887255,159.231313,160.751097,164.743346,167.714372,168.987018,170.636473,171.976159,173.976178,177.210016,180.008662,180.212902,191.246967,194.805723
joint_09948,NGRIP_04700,9549,14.483368,22.791494,23.160034,27.825413,28.987766,31.05657,32.863427,34.236652,36.169972,39.140297,41.168685,42.288733,43.916467,47.227199,49.612868,54.17175,54.834644,55.680933,58.07537,58.325141,59.171229,59.548929,63.888692,69.408064,72.216531,76.751989,85.866996,86.155357,90.792118,107.236929,107.732508,110.191545,111.858291,118.27941,135.09582,138.460201,146.332404,146.924067,148.530931,149.55177,150.527482,151.194222,159.609945,160.737177,165.074617,168.868748,169.894882,171.646971,172.487974,174.99803,177.355283,179.846835,180.102139,191.097116,194.125049
joint_08368,NGRIP_00711,8381,14.574386,22.79381,23.141445,27.335052,28.322374,30.108832,31.708433,32.891382,34.588153,37.388127,39.388288,40.548219,42.357977,45.778724,48.135803,53.132618,53.871146,54.794768,57.365562,57.600954,58.519206,58.899728,63.836265,68.927044,71.271127,75.00004,83.003418,83.310611,89.541904,102.119082,102.579737,104.435815,105.667084,112.405399,134.832921,138.318593,146.163689,146.75206,148.329618,149.342447,150.357068,151.024089,159.412144,160.832987,164.886851,168.226022,169.410819,170.945022,172.21029,174.451253,176.458251,179.807365,180.096653,190.927949,194.375363
joint_03029,NGRIP_02830,829,14.666754,22.771149,23.080017,27.254639,28.381056,30.273752,31.788824,32.933794,34.637351,37.451481,39.450369,40.929904,43.13072,47.239706,50.140713,55.5582,56.386931,57.062917,59.108611,59.306121,59.970522,60.333748,65.221059,70.714547,73.285052,76.854406,83.351778,83.617071,87.762406,100.983205,101.49334,103.58909,104.9187,111.310706,134.502541,138.119981,145.987,146.549751,148.075632,149.032615,150.121038,150.81462,159.135324,160.707627,164.66717,167.442777,168.762055,170.472687,171.851877,173.723997,177.103847,179.60477,180.421832,190.955714,194.292119
joint_08194,NGRIP_08874,6512,14.598232,22.790583,23.091373,27.682686,28.839642,30.814176,32.455647,33.695198,35.379197,38.193328,40.250281,41.644916,43.691649,47.192222,49.475634,54.422508,55.186632,56.120615,58.60933,58.866679,59.749647,60.131234,64.649677,69.701686,72.591369,76.403208,83.47421,83.750629,88.791947,104.964543,105.562427,107.95659,109.46813,115.817887,134.427266,138.061981,145.97446,146.514786,148.01579,148.919067,150.050559,150.77217,159.047319,160.362803,164.673931,167.098416,168.58597,170.704932,171.765176,173.534169,177.549878,180.474823,180.523458,190.843133,194.14506
