comparison_id,driver_id,comparison_group,reduced_model_id,full_model_id,df,loglik_reduced,loglik_full,ll_gain_nats,gain_bits_per_event,LR_statistic,nominal_p,delta_AIC,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,exposure_kyr,holm_nominal_p,realization_id
phase_reference,pre,reference,B,BP,2,-110.61667945174963,-100.08090255916972,10.535776892579918,0.28679081273278456,21.071553785159836,2.6568695594147475e-05,-17.071553785159836,True,,True,53.0,162.41264500000005,,joint_01858
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-110.61667945174963,-107.88350737175408,2.733172079995555,0.07439875105105208,5.46634415999111,0.019386137008194318,-3.4663441599911096,True,,True,53.0,162.41264500000005,0.09693068504097159,joint_01858
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-100.08090255916972,-98.66137283412135,1.4195297250483634,0.03864053763625939,2.8390594500967268,0.09199804986802626,-0.8390594500967268,True,,True,53.0,162.41264500000005,0.26471247407561105,joint_01858
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-107.88350737175408,-98.66137283412135,9.222134537632726,0.2510325993179919,18.444269075265453,9.882751128868726e-05,-14.444269075265453,True,,True,53.0,162.41264500000005,0.0007906200903094981,joint_01858
obl_after_base,obl,driver_after_base,B,B_obl,1,-110.61667945174963,-110.57498549982404,0.041693951925594774,0.0011349369373229892,0.08338790385118955,0.7727576680654652,1.9166120961488105,True,,True,53.0,162.41264500000005,0.7727576680654652,joint_01858
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-100.08090255916972,-98.4414348135229,1.6394677456468116,0.04462739596871818,3.2789354912936233,0.07017443096189914,-1.2789354912936233,True,,True,53.0,162.41264500000005,0.26471247407561105,joint_01858
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-110.57498549982404,-98.4414348135229,12.133550686301135,0.3302832717641797,24.26710137260227,5.376082083772405e-06,-20.26710137260227,True,,True,53.0,162.41264500000005,4.8384738753951645e-05,joint_01858
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,-110.61667945174963,-104.50768960361654,6.108989848133092,0.16629074261778554,12.217979696266184,0.0004733115679542919,-10.217979696266184,True,,True,53.0,162.41264500000005,0.0033131809756800435,joint_01858
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,-100.08090255916972,-98.39322253787994,1.6876800212897791,0.04593976598721027,3.3753600425795582,0.06617811851890276,-1.3753600425795582,True,,True,53.0,162.41264500000005,0.26471247407561105,joint_01858
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,-104.50768960361654,-98.39322253787994,6.114467065736605,0.16643983610220928,12.22893413147321,0.0022106535885796368,-8.22893413147321,True,,True,53.0,162.41264500000005,0.013263921531477822,joint_01858
phase_reference,pre,reference,B,BP,2,-111.80905489974472,-101.77425999610779,10.034794903636936,0.27315375177009155,20.06958980727387,4.384741009856241e-05,-16.06958980727387,True,,True,53.0,166.67110000000002,,joint_05740
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-111.80905489974472,-109.17236290815879,2.636691991585934,0.07177249925684286,5.273383983171868,0.02165387892335614,-3.2733839831718683,True,,True,53.0,166.67110000000002,0.1082693946167807,joint_05740
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-101.77425999610779,-100.84007688381571,0.9341831122920752,0.025429081950679142,1.8683662245841504,0.17166231517398947,0.13163377541584964,True,,True,53.0,166.67110000000002,0.4330015732609108,joint_05740
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-109.17236290815879,-100.84007688381571,8.332286024343077,0.22681033446392782,16.664572048686153,0.00024062134940454992,-12.664572048686153,True,,True,53.0,166.67110000000002,0.0016843494458318494,joint_05740
obl_after_base,obl,driver_after_base,B,B_obl,1,-111.80905489974472,-111.7824247771257,0.026630122619025087,0.0007248895441647643,0.053260245238050175,0.8174843109528895,1.9467397547619498,True,,True,53.0,166.67110000000002,0.8174843109528895,joint_05740
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-101.77425999610779,-100.70869254984791,1.0655674462598768,0.029005450385883796,2.1311348925197535,0.14433385775363694,-0.13113489251975352,True,,True,53.0,166.67110000000002,0.4330015732609108,joint_05740
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-111.7824247771257,-100.70869254984791,11.073732227277787,0.3014343126118106,22.147464454555575,1.5514550580186268e-05,-18.147464454555575,True,,True,53.0,166.67110000000002,0.0001396309552216764,joint_05740
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,-111.80905489974472,-103.85145719626507,7.9575977034796495,0.2166110706452735,15.915195406959299,6.624473063377729e-05,-13.915195406959299,True,,True,53.0,166.67110000000002,0.0005299578450702183,joint_05740
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,-101.77425999610779,-99.408341978758,2.3659180173497845,0.06440185265623363,4.731836034699569,0.029609261588745304,-2.731836034699569,True,,True,53.0,166.67110000000002,0.11843704635498122,joint_05740
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,-103.85145719626507,-99.408341978758,4.443115217507071,0.12094453378105167,8.886230435014141,0.011759248783488406,-4.8862304350141414,True,,True,53.0,166.67110000000002,0.07055549270093044,joint_05740
phase_reference,pre,reference,B,BP,2,-110.67721453588754,-101.45502113661314,9.222193399274403,0.2510342015707946,18.444386798548805,9.882169431033009e-05,-14.444386798548805,True,,True,53.0,160.29393400000004,,joint_01950
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-110.67721453588754,-108.8268731370278,1.8503413988597401,0.05036751622804707,3.7006827977194803,0.05439020608743645,-1.7006827977194803,True,,True,53.0,160.29393400000004,0.2175608243497458,joint_01950
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-101.45502113661314,-100.59977718645796,0.8552439501551845,0.02328030576677684,1.710487900310369,0.19092208016723247,0.289512099689631,True,,True,53.0,160.29393400000004,0.38184416033446494,joint_01950
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-108.8268731370278,-100.59977718645796,8.227095950569847,0.22394699110952435,16.454191901139694,0.0002673114899368471,-12.454191901139694,True,,True,53.0,160.29393400000004,0.002138491919494777,joint_01950
obl_after_base,obl,driver_after_base,B,B_obl,1,-110.67721453588754,-110.63948931530544,0.0377252205821037,0.001026905446231005,0.0754504411642074,0.7835602256141869,1.9245495588357926,True,,True,53.0,160.29393400000004,0.7835602256141869,joint_01950
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-101.45502113661314,-99.85710454680581,1.5979165898073262,0.04349634603526856,3.1958331796146524,0.07382614238321385,-1.1958331796146524,True,,True,53.0,160.29393400000004,0.22147842714964155,joint_01950
