event_id,event_label,event_age_kyr_bp,segment_id,source_record,source_event_label,data_source,label_source,timing_method,source_table
MIS6:MIS6_DO_01,MIS 6.1,134.976,MIS6,MF,MF 6.1,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_02,MIS 6.2,138.393,MIS6,MF,MF 6.2,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_03,MIS 6.3,146.251,MIS6,MF,MF 6.3,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_04,MIS 6.4,146.847,MIS6,MF,MF 6.4,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_05,MIS 6.5,148.439,MIS6,MF,MF 6.5,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_06,MIS 6.6,149.458,MIS6,MF,MF 6.6,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_07,MIS 6.7,150.462,MIS6,MF,MF 6.7,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_08,MIS 6.8,151.115,MIS6,MF,MF 6.8,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_09,MIS 6.9,159.522,MIS6,MF,MF 6.9,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_10,MIS 6.10,160.879,MIS6,MF,MF 6.10,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_11,MIS 6.11,165.006,MIS6,MF,MF 6.11,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_12,MIS 6.12,168.566,MIS6,MF,MF 6.12,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_13,MIS 6.13,169.675,MIS6,MF,MF 6.13,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_14,MIS 6.14,171.506,MIS6,MF,MF 6.14,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_15,MIS 6.15,172.364,MIS6,MF,MF 6.15,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_16,MIS 6.16,174.752,MIS6,MF,MF 6.16,Fohlmeister et al. (2023),Fohlmeister et al. (2023),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_17,MIS 6.17,176.779,MIS6,Sofular,D-O 6.9,Held et al. (2024),Held et al. (2024),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_18,MIS 6.18,179.831,MIS6,Sofular,D-O 6.10,Held et al. (2024),Held et al. (2024),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_19,MIS 6.19,180.309,MIS6,Sofular,D-O 6.11,Held et al. (2024),Held et al. (2024),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_20,MIS 6.20,190.972,MIS6,Sofular,D-O 6.12,Held et al. (2024),Held et al. (2024),algorithmic timing of published transition,mis6_composite_event_record.csv
MIS6:MIS6_DO_21,MIS 6.21,194.238,MIS6,Sofular,D-O 6.13,Held et al. (2024),Held et al. (2024),algorithmic timing of published transition,mis6_composite_event_record.csv
