,same_type_exponential_history,lr04_scaled,co2_scaled,mis6_segment,pre_phase_sin,pre_phase_cos,ecc_scaled,obl_scaled,insol65n_scaled
same_type_exponential_history,0.9999999999999999,0.1534772745146715,-0.1672900654409151,0.0145659200755162,-0.26636805222894233,0.296031819086425,-0.23566376369246078,-0.013239722424032752,0.2723152660594854
lr04_scaled,0.1534772745146715,1.0000000000000002,-0.8548835232759942,0.39722274630492105,0.12140924087079723,-0.1336262654950127,-0.4437495640347629,-0.12171691954321243,-0.20574875292733533
co2_scaled,-0.1672900654409151,-0.854883523275994,1.0,-0.4568018037985305,0.00818248609895469,0.07137968457231231,0.41954384673815026,0.05014144195998758,0.08870827158551381
mis6_segment,0.014565920075516192,0.39722274630492116,-0.4568018037985305,1.0,-0.06411069839241292,-0.0757934745194372,0.45401815892348124,-0.016032364033351003,-0.09516026020437694
pre_phase_sin,-0.2663680522289423,0.12140924087079723,0.008182486098954713,-0.06411069839241287,1.0,-0.0034318049801901796,-0.012006387473307628,0.043653527256819376,-0.008218518950804058
pre_phase_cos,0.296031819086425,-0.1336262654950127,0.07137968457231227,-0.07579347451943723,-0.0034318049801901687,1.0,-0.05630827976139605,-0.13288115573473133,0.7868803145562309
ecc_scaled,-0.23566376369246073,-0.4437495640347629,0.41954384673815026,0.45401815892348124,-0.012006387473307628,-0.05630827976139604,1.0,-0.09051478465051228,-0.08809737149145351
obl_scaled,-0.013239722424032728,-0.12171691954321251,0.05014144195998756,-0.016032364033351003,0.04365352725681937,-0.13288115573473133,-0.09051478465051233,1.0,0.43519393536616063
insol65n_scaled,0.2723152660594854,-0.20574875292733538,0.08870827158551381,-0.09516026020437694,-0.008218518950804048,0.7868803145562309,-0.08809737149145351,0.43519393536616063,1.0
