comparison_id,driver_id,comparison_group,reduced_model_id,full_model_id,df,n_events,exposure_kyr,point_fit_valid,point_invalid_reason,holm_nominal_p_point,n_mc_total,n_mc_valid,n_mc_invalid,gain_bits_per_event_point,gain_bits_per_event_q025,gain_bits_per_event_median,gain_bits_per_event_q975,LR_statistic_point,LR_statistic_q025,LR_statistic_median,LR_statistic_q975,nominal_p_point,nominal_p_q025,nominal_p_median,nominal_p_q975,delta_AIC_point,delta_AIC_q025,delta_AIC_median,delta_AIC_q975
phase_reference,pre,reference,B,BP,2,53,165.05800000000002,True,,,500,499,1,0.24822357610742327,0.12218654282841034,0.2248845327097341,0.2961174961343371,18.23788002430095,8.97748531237124,16.523076458725058,21.75681880135854,0.00010957075947574634,1.886613714168027e-05,0.0002582614202229684,0.011240160290942838,-14.23788002430095,-17.75681880135854,-12.523076458725058,-4.977485312371239
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,53,165.05800000000002,True,,0.17653507336017854,500,499,1,0.06029737845167816,0.014919579238418319,0.0546146307386886,0.08515934014764592,4.430265534107292,1.0961952141305376,4.01273359526752,6.256963391298729,0.03530701467203571,0.012375327266605132,0.04515787829381758,0.2951304914305158,-2.430265534107292,-4.256963391298728,-2.0127335952675196,0.9038047858694629
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,53,165.05800000000002,True,,0.5140207728889239,500,499,1,0.022054652087340317,0.0005730338293678445,0.021665127381636187,0.05282319934841846,1.620434710732468,0.04210285901832976,1.5918149278716385,3.8811106798302926,0.2030311840274377,0.04885062287749716,0.20706702281285363,0.8375137318728798,0.3795652892675321,-1.8811106798302915,0.4081850721283615,1.9578971409816703
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,53,165.05800000000002,True,,0.0031256455178680733,500,499,1,0.20998084974308542,0.10376820009182838,0.19395555901873157,0.26200590544826413,15.428049200926125,7.624223344495697,14.250613382102756,19.250517393061106,0.00044652078826686763,6.604104668094606e-05,0.0008044862435541435,0.022127886865521192,-11.428049200926125,-15.250517393061106,-10.250613382102756,-3.6242233444956944
obl_after_base,obl,driver_after_base,B,B_obl,1,53,165.05800000000002,True,,0.8515873282460827,500,499,1,0.00047641568367189524,1.0380594071460523e-06,0.0006065846938589432,0.004842261202465758,0.03500397591864157,7.626996283960354e-05,0.044567961853829274,0.3557783682025388,0.8515873282460827,0.5508602242818852,0.832800458177784,0.9930432868700257,1.9649960240813584,1.6442216317974612,1.9554320381461707,1.9999237300371604
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,53,165.05800000000002,True,,0.5140207728889239,500,499,1,0.025467346986464887,0.005048795236718324,0.024803879060909785,0.052124022543425796,1.8711776945610552,0.37095316745691354,1.822430316830065,3.8297396421343737,0.1713402576296413,0.05035083613830684,0.17702426163049234,0.5425374595455142,0.1288223054389448,-1.8297396421343735,0.17756968316993493,1.6290468325430867
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,53,165.05800000000002,True,,0.00039374687902740056,500,499,1,0.27321450741021625,0.13272501344059542,0.25256870676194026,0.33001667645074645,20.074053742943363,9.751784698749733,18.557132420909312,24.247513654877455,4.374965322526673e-05,5.429311821291637e-06,9.340495054366213e-05,0.007648233365068656,-16.074053742943363,-20.24751365487745,-14.557132420909312,-5.751784698749729
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,53,165.05800000000002,True,,0.0018749906232767405,500,499,1,0.18419200591785861,0.0715425275329949,0.15401151682380843,0.20898143106541645,13.533249975866312,5.256487132460533,11.31578075797944,15.354618311631853,0.00023437382790959257,8.913664234659116e-05,0.000768511400947175,0.021865112561303936,-11.533249975866312,-13.354618311631851,-9.31578075797944,-3.2564871324605336
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,53,165.05800000000002,True,,0.22751968280009355,500,499,1,0.049352434991732384,0.0024548442554608477,0.03912201811149248,0.07356706790443403,3.6261011238384526,0.18036624768496526,2.8744355544903897,5.405237404202171,0.05687992070002339,0.0200766940149506,0.08999652489756385,0.671197137502726,-1.6261011238384526,-3.405237404202171,-0.8744355544903897,1.819633752315035
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,53,165.05800000000002,True,,0.0931442309358318,500,499,1,0.11338400518129706,0.050127123722617385,0.10400063988084962,0.18553072897377945,8.33073117227309,3.6830202946586494,7.641301532843158,13.631610779713098,0.0155240384893053,0.0010963112164683838,0.02191353565991175,0.1585783205540328,-4.33073117227309,-9.631610779713098,-3.6413015328431584,0.3169797053413505
