realization_id,within_observation_support,n_response_events,response_exposure_kyr,all_comparisons_valid,invalid_reason
joint_01858,True,53.0,162.41264500000005,True,
joint_05740,True,53.0,166.67110000000002,True,
joint_01950,True,53.0,160.29393400000004,True,
joint_08028,True,53.0,164.93327900000008,True,
joint_08732,True,53.0,161.04800000000003,True,
joint_06901,True,53.0,162.74372100000002,True,
joint_09322,True,53.0,164.837426,True,
joint_03459,True,53.0,162.68473700000004,True,
joint_05927,True,53.0,166.55501900000002,True,
joint_01678,True,53.0,160.27644800000004,True,
joint_04201,True,53.0,162.994819,True,
joint_09031,True,53.0,165.62824500000005,True,
joint_09715,True,53.0,162.796264,True,
joint_04692,True,53.0,164.40259700000001,True,
joint_05576,True,53.0,163.65052300000002,True,
joint_07078,True,53.0,167.10273800000004,True,
joint_07555,True,53.0,161.561516,True,
joint_01828,True,53.0,164.86909500000002,True,
joint_03544,True,53.0,164.872526,True,
joint_06198,True,53.0,161.600571,True,
joint_03528,True,53.0,166.85882600000002,True,
joint_03251,True,53.0,165.81823000000003,True,
joint_09511,True,53.0,167.22914600000007,True,
joint_03335,True,53.0,170.42661400000003,True,
joint_08888,True,53.0,165.222172,True,
joint_07321,True,53.0,159.94102600000002,True,
joint_09045,True,53.0,168.19403500000004,True,
joint_05292,True,53.0,165.42819100000003,True,
joint_06980,True,53.0,163.20412300000004,True,
joint_05143,True,53.0,161.24751500000002,True,
joint_09286,True,53.0,164.340596,True,
joint_02883,True,53.0,168.82082300000008,True,
joint_03165,True,53.0,168.51622000000003,True,
joint_02128,True,53.0,167.69625900000005,True,
joint_01860,True,53.0,163.41996800000004,True,
joint_00984,True,53.0,167.50598400000004,True,
joint_02981,True,53.0,160.82975500000003,True,
joint_09341,True,53.0,164.85656300000005,True,
joint_07575,True,53.0,158.685088,True,
joint_08714,True,53.0,161.05560300000002,True,
joint_06402,True,53.0,168.63348300000004,True,
joint_06549,True,53.0,162.59043100000002,True,
joint_08135,True,53.0,163.97627200000005,True,
joint_00051,True,53.0,164.25863700000002,True,
joint_01474,True,53.0,164.88427600000006,True,
joint_06374,True,53.0,168.12975800000004,True,
joint_09863,True,53.0,167.27697800000004,True,
joint_03150,True,53.0,166.64754100000005,True,
joint_02236,True,53.0,166.46359900000002,True,
joint_02657,True,53.0,164.30189700000003,True,
joint_02161,True,53.0,164.80421300000003,True,
joint_01983,True,53.0,166.04093699999999,True,
joint_07665,False,,,False,An event lies outside the NGRIP observation window
joint_00577,True,53.0,164.115969,True,
joint_03580,True,53.0,167.093298,True,
joint_04237,True,53.0,167.41306900000004,True,
joint_04486,True,53.0,166.17340900000005,True,
joint_02446,True,53.0,163.722131,True,
joint_09021,True,53.0,165.45205300000003,True,
joint_07453,True,53.0,160.62163800000002,True,
joint_01980,True,53.0,168.71345000000002,True,
joint_06123,True,53.0,165.00163400000002,True,
joint_03596,True,53.0,168.03543200000001,True,
joint_02325,True,53.0,166.91712300000003,True,
joint_04360,True,53.0,164.45502300000004,True,
joint_05314,True,53.0,164.12291800000003,True,
joint_03100,True,53.0,167.513622,True,
joint_01358,True,53.0,163.78962700000002,True,
joint_02014,True,53.0,167.42019200000004,True,
joint_06862,True,53.0,166.57354500000002,True,
joint_04025,True,53.0,166.67044900000002,True,
joint_09777,True,53.0,167.79683500000004,True,
joint_07957,True,53.0,168.244562,True,
joint_07281,True,53.0,161.01452500000002,True,
joint_00769,True,53.0,166.139148,True,
joint_00843,True,53.0,164.88103100000004,True,
