model_id,point_fit_valid,point_invalid_reason,n_mc_total,n_mc_valid,n_mc_invalid,phase_quantiles,pre_phase_preferred_deg_point,pre_phase_preferred_deg_q025,pre_phase_preferred_deg_median,pre_phase_preferred_deg_q975,pre_phase_rate_ratio_max_vs_min_point,pre_phase_rate_ratio_max_vs_min_q025,pre_phase_rate_ratio_max_vs_min_median,pre_phase_rate_ratio_max_vs_min_q975
BP,True,,500,499,1,degrees unwrapped about this model's point phase,328.08368244245503,312.7972899088347,327.8344003000179,343.3780078629075,7.182865381876795,3.6793704197846084,6.470881412237688,9.4520637944708
BP_ecc,True,,500,499,1,degrees unwrapped about this model's point phase,326.4524854694985,309.9697772847403,326.256380011721,343.3716292468756,6.204056638607836,3.3957775725219816,5.680792016774837,8.409524997528889
BP_obl,True,,500,499,1,degrees unwrapped about this model's point phase,328.1447445721073,313.7556816602062,328.0001059606667,342.9334433317154,8.730794866653918,4.081281797062382,7.902444544644845,12.592451050900234
BP_insol65n,True,,500,499,1,degrees unwrapped about this model's point phase,303.72864232994283,282.3199184110034,304.79179450926654,338.0531760129037,4.163197324161382,2.741243051540569,4.030025555753779,6.116761345282976
