age_kyr_bp,segment_id,intercept,lr04,lr04_scaled,co2,co2_scaled,precession_index,ecc,ecc_scaled,obl,obl_scaled,insol65n,insol65n_scaled,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_sin,pre_phase_cos,pre_phase_extrapolated,same_type_exponential_history,time_since_last_event_kyr,log_time_since_last_event,rectangular_history_count,mis6_segment,event_id,B,BP,B_ecc,BP_ecc,B_obl,BP_obl,B_insol65n,BP_insol65n
14.642,NGRIP,1.0,4.41482,0.017957416520210188,238.53389865874135,0.2668253381826862,-0.012195279999999998,0.019654480000000002,-0.28396443270479066,23.922191158081645,0.2953832287061803,515.9514545898437,0.24366315963667753,26.052737903054,0.9199966743356534,52.71192660550469,0.7955996052774703,0.6058228025440553,False,0.0072857716031887974,8.328,2.2330206296081365,0.0,0.0,NGRIP:GI-1,0.387350205099433,0.6195855985430152,0.6477171070058798,0.7826313630094077,0.39796003785683476,0.7720819754904308,0.823874057609497,0.7986046344905097
22.97,NGRIP,1.0,4.860600000000001,0.34777393028167913,188.90901280295293,-0.25001853494879517,0.0181646,0.018335399999999998,-0.32573427740259053,22.653811568688734,-0.27320463793993904,464.9263568115234,-0.2718586749241579,28.44824347563186,3.315502246913514,189.96428571428578,-0.17303428190792183,-0.9849158021296084,False,0.8779261791004767,0.3200000000000003,0.2776317365982797,1.0,0.0,NGRIP:GI-2.1,0.4259575426012351,0.18623417180993135,0.28658388429271353,0.15932188203269324,0.4192298396211581,0.15618329569026698,0.2208341213193295,0.18745020621808453
23.29,NGRIP,1.0,4.8455,0.3366019859194415,196.99808375703327,-0.1657707489872968,0.0177784,0.018249599999999998,-0.3284512109282836,22.609304207162975,-0.29315635109553456,464.7392767333984,-0.27374880094613613,28.538003265734424,3.4052620370160795,195.1071428571429,-0.26062486859118456,-0.9654401472239632,False,0.08669455009535695,4.440000000000001,1.6937790608678516,0.0,0.0,NGRIP:GI-2.2,0.5512337984016504,0.43320494443477764,0.4719401581218886,0.4022385275188336,0.5412774918261034,0.37008539486213204,0.36363954085465416,0.4640751056838736
27.73,NGRIP,1.0,4.75,0.2659449868072778,189.1126855492172,-0.2478972804770679,0.0014479999999999966,0.0170416,-0.36670360835295984,22.22047212907539,-0.46746158559494505,473.82245239257816,-0.18197875868571317,29.78342035340752,4.6506791246891765,266.4642857142858,-0.9980965510147212,-0.06167069687070188,False,0.6730289790962186,1.120000000000001,0.7514160886839215,1.0,0.0,NGRIP:GI-3,0.422186345213794,0.6298812976415887,0.3365938685908913,0.5542501021952453,0.40789209913250546,0.5111514096477615,0.2710217764256592,0.5204719905422756
28.85,NGRIP,1.0,4.7330000000000005,0.25336730110144806,193.72963437007016,-0.19981169459675027,-0.003795000000000016,0.016681,-0.3781223289749286,22.206640927900935,-0.4736618218922672,478.5328735351563,-0.13438796406291917,30.0975796187665,4.964838390048154,284.46428571428555,-0.968303522122262,0.24977647816722465,False,0.4200609255086632,1.9399999999999977,1.0784095813505894,0.0,0.0,NGRIP:GI-4,0.4529522512898433,1.0243191150639566,0.410687148953604,0.9334971049407944,0.437245146239994,0.8517221796817268,0.35557495443617204,0.8305564825135149
30.79,NGRIP,1.0,4.62,0.16976268435092975,190.23098755422097,-0.23625014961461097,-0.0111068,0.0160936,-0.3967228738815966,22.271992494013556,-0.44436609065478855,486.57001220703125,-0.05318634656194794,30.641748346263302,5.509007117544957,315.6428571428571,-0.6991287205172593,0.7149958266646735,False,0.5310868088866959,1.6600000000000037,0.9783261227936091,0.0,0.0,NGRIP:GI-5.1,0.40281259737702346,0.9608820783626143,0.37700945962301274,0.8958798305823991,0.38915688761501277,0.815953650553657,0.3440625352157434,0.6874045859018818
32.45,NGRIP,1.0,4.591,0.1483066322645137,194.20931917722757,-0.19481577069006292,-0.014624,0.015617,-0.41181483796487534,22.412332776352898,-0.38145449667523457,492.2359924316406,0.00405874746346898,31.10737725742036,5.974636028702015,342.32142857142844,-0.3036767451096178,0.9527751227228953,False,0.6061449672116944,1.2399999999999949,0.8064758658669462,1.0,0.0,NGRIP:GI-5.2,0.38157253960939075,0.8646600722815654,0.3872952662373764,0.8414934619509946,0.37053755684916934,0.7580135892557252,0.36659903001324556,0.6029049272441311
33.69,NGRIP,1.0,4.5869,0.14527319041781334,199.28179513598351,-0.14198586336275074,-0.0152304,0.015238600000000001,-0.4237972114628037,22.56159974114038,-0.31454125888821016,495.3526867675781,0.035547643159628384,31.44850601526849,0.03257947937055761,1.8666666666665606,0.032573716244476775,0.9994693357027139,False,0.3854577146944342,1.740000000000002,1.0079579203999796,0.0,0.0,NGRIP:GI-6,0.4082826266757398,0.953379946164605,0.4689021832020752,0.9817512350517421,0.398730507460171,0.8695680505893176,0.4603452012225488,0.6963231518182056
35.43,NGRIP,1.0,4.5013000000000005,0.08194084356963374,200.56517606290424,-0.12861943324338737,-0.013505200000000005,0.014805,-0.43752754219404516,22.81986619687355,-0.1987658440836688,498.01345703124997,0.06243020149655402,31.853422401731176,0.4374958658332453,25.066666666666606,0.42367251241550036,0.9058154349664934,False,0.22958439063947533,2.740000000000002,1.319085611426441,0.0,0.0,NGRIP:GI-7,0.4043906272567034,0.7304840111190812,0.5189813716189708,0.8192729104219123,0.3983370813267759,0.6960437278968118,0.4811349735786245,0.5553330918043715
38.17,NGRIP,1.0,4.433800000000001,0.03200003267883767,208.03754509306944,-0.05079460635629784,-0.00633340000000001,0.0142222,-0.45598242399793704,23.292510541232872,0.01311066488021934,499.0186480712891,0.07258594742567302,32.491049355126435,1.075122819228504,61.59999999999991,0.8796485728666145,0.4756242090702789,False,0.42644033521451385,1.9399999999999977,1.0784095813505894,0.0,0.0,NGRIP:GI-8,0.35466285733252595,0.3097880749517739,0.5190580272599604,0.39766346196731905,0.3555449303985616,0.31431349742232767,0.39513622702341455,0.2708285008993052
