knot_spacing_ka,event_subset,younger_event,older_event,nominal_gap_ka,unconditioned_gap_sigma_ka
2.5,34_warming_events,GI-6,GI-7,1.74,0.169947667239
2.5,34_warming_events,GI-7,GI-8,2.74,0.258706221402
2.5,34_warming_events,GI-8,GI-9,1.94,0.236557316319
2.5,34_warming_events,GI-9,GI-10,1.3,0.164917284722
2.5,34_warming_events,GI-10,GI-11,1.88,0.171195885558
2.5,34_warming_events,GI-11,GI-12,3.52,0.337925014167
2.5,34_warming_events,GI-12,GI-13,2.42,0.265774595957
2.5,34_warming_events,GI-13,GI-14,4.94,0.47635443772
2.5,34_warming_events,GI-14,GI-15.1,0.78,0.130088006211
2.5,34_warming_events,GI-15.1,GI-15.2,0.8,0.125247914154
2.5,34_warming_events,GI-15.2,GI-16.1,2.24,0.278736573297
2.5,34_warming_events,GI-16.1,GI-16.2,0.24,0.0368038841034
2.5,34_warming_events,GI-16.2,GI-17.1,0.8,0.122679613678
2.5,34_warming_events,GI-17.1,GI-17.2,0.36,0.0552058261551
2.5,34_warming_events,GI-17.2,GI-18,4.66,0.594103761981
2.5,34_warming_events,GI-18,GI-19.1,5.52,0.560133421606
2.5,34_warming_events,GI-19.1,GI-19.2,2.72,0.402524434041
2.5,34_warming_events,GI-19.2,GI-20,4.1,0.501451660183
2.5,34_warming_events,GI-20,GI-21.1,8.32,0.782905856409
2.5,34_warming_events,GI-21.1,GI-21.2,0.3,0.0456012335359
2.5,34_warming_events,GI-21.2,GI-22,4.98,0.65777979408
2.5,34_warming_events,GI-22,GI-23.1,14,1.14476356074
2.5,34_warming_events,GI-23.1,GI-23.2,0.48,0.0983926826548
2.5,34_warming_events,GI-23.2,GI-24.1,2.23,0.376117432626
2.5,34_warming_events,GI-24.1,GI-24.2,1.53,0.225834664356
2.5,34_warming_events,GI-24.2,GI-25,7.09,0.840402107997
5,all_69_boundaries,GS-1,GI-1,1.796,0.0320876397886
5,all_69_boundaries,GI-1,GS-2.1,8.208,0.251143192201
5,all_69_boundaries,GS-2.1,GI-2.1,0.12,0.00633804512448
5,all_69_boundaries,GI-2.1,GS-2.2,0.2,0.0105634085408
5,all_69_boundaries,GS-2.2,GI-2.2,0.12,0.00633804512448
5,all_69_boundaries,GI-2.2,GS-3,4.2,0.194420663357
5,all_69_boundaries,GS-3,GI-3,0.24,0.0163964269278
5,all_69_boundaries,GI-3,GS-4,0.82,0.0560211253368
5,all_69_boundaries,GS-4,GI-4,0.3,0.0204955336598
5,all_69_boundaries,GI-4,GS-5.1,1.7,0.0912065397875
5,all_69_boundaries,GS-5.1,GI-5.1,0.24,0.0206729457988
5,all_69_boundaries,GI-5.1,GS-5.2,1.2,0.103364728994
5,all_69_boundaries,GS-5.2,GI-5.2,0.46,0.0396231461144
5,all_69_boundaries,GI-5.2,GS-6,0.86,0.074078055779
5,all_69_boundaries,GS-6,GI-6,0.38,0.0327321641814
5,all_69_boundaries,GI-6,GS-7,1,0.0861372741617
5,all_69_boundaries,GS-7,GI-7,0.74,0.0482481427207
5,all_69_boundaries,GI-7,GS-8,1.1,0.0979353419354
5,all_69_boundaries,GS-8,GI-8,1.64,0.146012691613
5,all_69_boundaries,GI-8,GS-9,1.68,0.149573976774
5,all_69_boundaries,GS-9,GI-9,0.26,0.0170356839604
5,all_69_boundaries,GI-9,GS-10,0.64,0.0580961035526
5,all_69_boundaries,GS-10,GI-10,0.66,0.0599116067887
5,all_69_boundaries,GI-10,GS-11,0.78,0.0708046262048
5,all_69_boundaries,GS-11,GI-11,1.1,0.0998526779811
5,all_69_boundaries,GI-11,GS-12,0.94,0.085328652093
5,all_69_boundaries,GS-12,GI-12,2.58,0.195687941243
5,all_69_boundaries,GI-12,GS-13,1.48,0.146767280223
5,all_69_boundaries,GS-13,GI-13,0.94,0.0932170563577
5,all_69_boundaries,GI-13,GS-14,0.32,0.0317334659941
5,all_69_boundaries,GS-14,GI-14,4.62,0.470248231559
5,all_69_boundaries,GI-14,GS-15.1,0.68,0.0755045311488
5,all_69_boundaries,GS-15.1,GI-15.1,0.1,0.0111036075219
5,all_69_boundaries,GI-15.1,GS-15.2,0.4,0.0438279473949
5,all_69_boundaries,GS-15.2,GI-15.2,0.4,0.0438279473949
5,all_69_boundaries,GI-15.2,GS-16.1,0.7,0.076698907941
5,all_69_boundaries,GS-16.1,GI-16.1,1.54,0.16873759747
5,all_69_boundaries,GI-16.1,GS-16.2,0.12,0.0131483842185
5,all_69_boundaries,GS-16.2,GI-16.2,0.12,0.0131483842185
5,all_69_boundaries,GI-16.2,GS-17.1,0.28,0.0306795631764
5,all_69_boundaries,GS-17.1,GI-17.1,0.52,0.0569763316133
5,all_69_boundaries,GI-17.1,GS-17.2,0.22,0.0241053710672
5,all_69_boundaries,GS-17.2,GI-17.2,0.14,0.0153397815882
5,all_69_boundaries,GI-17.2,GS-18,4.4,0.506770106984
5,all_69_boundaries,GS-18,GI-18,0.26,0.0357228395903
5,all_69_boundaries,GI-18,GS-19.1,5.3,0.529072586873
5,all_69_boundaries,GS-19.1,GI-19.1,0.22,0.0257209544924
5,all_69_boundaries,GI-19.1,GS-19.2,0.76,0.0639823413138
5,all_69_boundaries,GS-19.2,GI-19.2,1.96,0.237485767995
5,all_69_boundaries,GI-19.2,GS-20,1.76,0.213252526363
5,all_69_boundaries,GS-20,GI-20,2.34,0.210794621611
5,all_69_boundaries,GI-20,GS-21.1,1.32,0.165362601576
5,all_69_boundaries,GS-21.1,GI-21.1,7,0.676216304151
5,all_69_boundaries,GI-21.1,GS-21.2,0.2,0.0258505319094
5,all_69_boundaries,GS-21.2,GI-21.2,0.1,0.00951406853034
5,all_69_boundaries,GI-21.2,GS-22,2.54,0.338103959604
5,all_69_boundaries,GS-22,GI-22,2.44,0.319515210906
5,all_69_boundaries,GI-22,GS-23.1,0.1,0.0136862156932
5,all_69_boundaries,GS-23.1,GI-23.1,13.9,1.12906757659
5,all_69_boundaries,GI-23.1,GS-23.2,0.34,0.0489839004164
5,all_69_boundaries,GS-23.2,GI-23.2,0.14,0.0201698413479
5,all_69_boundaries,GI-23.2,GS-24.1,0.92,0.0948507775403
5,all_69_boundaries,GS-24.1,GI-24.1,1.31,0.193280500504
5,all_69_boundaries,GI-24.1,GS-24.2,0.15,0.0221313550195
5,all_69_boundaries,GS-24.2,GI-24.2,1.38,0.20360846618
5,all_69_boundaries,GI-24.2,GS-25,2.36,0.271536130193
5,all_69_boundaries,GS-25,GI-25,4.73,0.660545088828
5,all_69_boundaries,GI-25,GS-26,3.77,0.581530901479
5,34_warming_events,GI-1,GI-2.1,8.328,0.255058156593
5,34_warming_events,GI-2.1,GI-2.2,0.32,0.0169014536653
5,34_warming_events,GI-2.2,GI-3,4.44,0.20918590638
5,34_warming_events,GI-3,GI-4,1.12,0.0765166589966
5,34_warming_events,GI-4,GI-5.1,1.94,0.104320932837
5,34_warming_events,GI-5.1,GI-5.2,1.66,0.142987875108
5,34_warming_events,GI-5.2,GI-6,1.24,0.10681021996
5,34_warming_events,GI-6,GI-7,1.74,0.116643563371
5,34_warming_events,GI-7,GI-8,2.74,0.243948033548
5,34_warming_events,GI-8,GI-9,1.94,0.159141342762
5,34_warming_events,GI-9,GI-10,1.3,0.118007710341
5,34_warming_events,GI-10,GI-11,1.88,0.170657304186
5,34_warming_events,GI-11,GI-12,3.52,0.238177642074
