knot_spacing_ka,n_realizations,n_valid,n_invalid,n_events,catalogue_id,n_nominal_p_below_0p05,fraction_nominal_p_below_0p05,n_delta_AIC_below_zero,fraction_delta_AIC_below_zero,model_version,gain_bits_per_event_q025,gain_bits_per_event_median,gain_bits_per_event_q975,point_gain_bits_per_event,LR_statistic_q025,LR_statistic_median,LR_statistic_q975,point_LR_statistic,nominal_LR_p_q025,nominal_LR_p_median,nominal_LR_p_q975,point_nominal_LR_p,delta_AIC_full_minus_reduced_q025,delta_AIC_full_minus_reduced_median,delta_AIC_full_minus_reduced_q975,point_delta_AIC_full_minus_reduced,pre_phase_rate_ratio_max_vs_min_q025,pre_phase_rate_ratio_max_vs_min_median,pre_phase_rate_ratio_max_vs_min_q975,point_pre_phase_rate_ratio_max_vs_min,pre_phase_preferred_deg_q025,pre_phase_preferred_deg_median,pre_phase_preferred_deg_q975,point_pre_phase_preferred_deg,response_exposure_kyr_min,response_exposure_kyr_max,n_response_events_min,n_response_events_max,phase_quantiles_unwrapped_about_point,experiment
2.5,2000,1993,7,53,ngrip_warming_plus_mis6,1988,0.997491219267436,1993,1.0,continuous_exponential_inhibition_2026-09-12,0.1186392768589664,0.22336440238138097,0.28816609518985986,0.24822357610742252,8.716854907397112,16.4113870092998,21.172600739864937,18.237880024300893,2.5259746765802932e-05,0.0002730942717424361,0.012798685066768366,0.00010957075947574939,-17.172600739864937,-12.411387009299801,-4.716854907397111,-14.237880024300893,3.6295368913722403,6.43219074720322,9.145182253208366,7.1828657310746395,312.02953945007687,328.6335895274143,342.41640463562277,328.0836823478582,156.4159043533288,172.7189082466095,53.0,53.0,True,2000-draw correlation-scale screening
5.0,2000,1997,3,53,ngrip_warming_plus_mis6,1992,0.9974962443665498,1997,1.0,continuous_exponential_inhibition_2026-09-12,0.12310364990751642,0.22291306335632022,0.2934581496591022,0.24822357610742252,9.044868472103559,16.378225505793864,21.561427039145787,18.237880024300893,2.0796770271892425e-05,0.0002776601281292037,0.010862558056032631,0.00010957075947574939,-17.561427039145787,-12.378225505793864,-5.04486847210356,-14.237880024300893,3.71122453568745,6.372391800767216,9.276498600842814,7.1828657310746395,311.60275608594424,328.3488536286885,342.4049434065506,328.0836823478582,154.33759875212647,173.33723819871483,53.0,53.0,True,2000-draw correlation-scale screening
10.0,2000,1997,3,53,ngrip_warming_plus_mis6,1996,0.99949924887331,1997,1.0,continuous_exponential_inhibition_2026-09-12,0.12998395316287187,0.22707748076237605,0.29199460651991643,0.24822357610742252,9.550389129205346,16.684200249264194,21.453895254287012,18.237880024300893,2.1945585624063654e-05,0.00023827141744519272,0.008436445064733691,0.00010957075947574939,-17.453895254287012,-12.684200249264194,-5.550389129205346,-14.237880024300893,3.870805719233368,6.511606561874214,9.184230677883425,7.1828657310746395,312.1095988782936,328.308602013309,342.0307785033434,328.0836823478582,156.6944922352472,172.6849879854293,53.0,53.0,True,2000-draw correlation-scale screening
