event_label,event_type,age_ka_b2k,knot_spacing_ka,nominal_target_sigma_ka,unconditioned_basis_sigma_ka,basis_sigma_to_nominal_ratio
GI-22,warming,90.04,2.5,2.0259,2.02501459995,0.999562959646
GS-23.1,cooling,90.14,2.5,2.02815,2.0251788421,0.998535040358
GI-23.1,warming,104.04,2.5,2.3409,2.32775443937,0.994384398893
GS-23.2,cooling,104.38,2.5,2.34855,2.33822585147,0.995604032903
GI-23.2,warming,104.52,2.5,2.3517,2.3431266227,0.996354391589
GS-24.1,cooling,105.44,2.5,2.3724,2.36426248543,0.996569923043
GI-24.1,warming,106.75,2.5,2.401875,2.3902279082,0.995150833494
GS-24.2,cooling,106.9,2.5,2.40525,2.3951511565,0.995801333127
GI-24.2,warming,108.28,2.5,2.4363,2.42428294141,0.995067496371
GS-25,cooling,110.64,2.5,2.4894,2.47872548702,0.995712013746
GI-25,warming,115.37,2.5,2.595825,2.58874519278,0.997272617675
GS-26,cooling,119.14,2.5,2.68065,2.66810176202,0.995318956977
GS-1,cooling,12.896,5,0.069,0.0663273824842,0.961266412814
GI-1,warming,14.692,5,0.093,0.0935381985544,1.00578708123
GS-2.1,cooling,22.9,5,0.2865,0.269712573678,0.941405143728
GI-2.1,warming,23.02,5,0.2915,0.273361724929,0.937776071797
GS-2.2,cooling,23.22,5,0.295,0.279657117514,0.94799022886
GI-2.2,warming,23.34,5,0.298,0.283556181354,0.951530809912
GS-3,cooling,27.54,5,0.411,0.386182938976,0.939617856389
GI-3,warming,27.78,5,0.416,0.393823071244,0.946690075106
GS-4,cooling,28.6,5,0.4435,0.4236916728,0.955336353551
GI-4,warming,28.9,5,0.449,0.435908598332,0.970843203413
GS-5.1,cooling,30.6,5,0.504,0.488243091912,0.968736293477
GI-5.1,warming,30.84,5,0.512,0.490862038589,0.95871491912
GS-5.2,cooling,32.04,5,0.5535,0.516321394296,0.932829980662
GI-5.2,warming,32.5,5,0.566,0.531114806327,0.938365382204
GS-6,cooling,33.36,5,0.5955,0.565221111467,0.949153839575
GI-6,warming,33.74,5,0.606,0.58266033552,0.961485702178
GS-7,cooling,34.74,5,0.643,0.634359148265,0.986561661377
GI-7,warming,35.48,5,0.6605,0.650405501428,0.984716883313
GS-8,cooling,36.58,5,0.6985,0.664070225058,0.950708983619
GI-8,warming,38.22,5,0.7245,0.709498698835,0.979294270303
GS-9,cooling,39.9,5,0.7845,0.781998431712,0.996811257759
GI-9,warming,40.16,5,0.79,0.787134008494,0.996372162651
GS-10,cooling,40.8,5,0.8075,0.790343395746,0.978753431265
GI-10,warming,41.46,5,0.8165,0.798081237161,0.977441809137
GS-11,cooling,42.24,5,0.841,0.812843574304,0.966520302383
GI-11,warming,43.34,5,0.868,0.843381642098,0.971637836518
GS-12,cooling,44.28,5,0.89,0.877675906808,0.986152704279
GI-12,warming,46.86,5,0.956,0.927035240407,0.969702134317
GS-13,cooling,48.34,5,0.994,0.966994130032,0.972831116732
GI-13,warming,49.28,5,1.0155,1.00275491055,0.987449444161
GS-14,cooling,49.6,5,1.0255,1.01659333934,0.991314811648
GI-14,warming,54.22,5,1.1505,1.13612716792,0.987507316749
GS-15.1,cooling,54.9,5,1.169,1.16929232021,1.00025006006
GI-15.1,warming,55,5,1.1745,1.1745,1
GS-15.2,cooling,55.4,5,1.184,1.17531746306,0.992666776233
GI-15.2,warming,55.8,5,1.196,1.17776644794,0.984754555133
GS-16.1,cooling,56.5,5,1.215,1.18594382294,0.976085450983
GI-16.1,warming,58.04,5,1.2485,1.22081972341,0.977829173738
GS-16.2,cooling,58.16,5,1.2525,1.22447251125,0.977622763469
GI-16.2,warming,58.28,5,1.2555,1.2282551952,0.978299637753
GS-17.1,cooling,58.56,5,1.264,1.23757984209,0.979097976334
GI-17.1,warming,59.08,5,1.2785,1.25670184958,0.982950214766
GS-17.2,cooling,59.3,5,1.2845,1.26547737314,0.985190636931
GI-17.2,warming,59.44,5,1.2865,1.27126825664,0.988160323857
GS-18,cooling,63.84,5,1.4364,1.39791817973,0.973209537547
GI-18,warming,64.1,5,1.44225,1.41108579519,0.978391953674
GS-19.1,cooling,69.4,5,1.5615,1.55033327062,0.992848716377
GI-19.1,warming,69.62,5,1.56645,1.55905661138,0.995280163034
GS-19.2,cooling,70.38,5,1.58355,1.57567286341,0.995025647068
GI-19.2,warming,72.34,5,1.62765,1.60031673506,0.983206914912
GS-20,cooling,74.1,5,1.66725,1.65148927108,0.990546871244
GI-20,warming,76.44,5,1.7199,1.69711484879,0.986752048837
GS-21.1,cooling,77.76,5,1.7496,1.72255767973,0.984543712695
GI-21.1,warming,84.76,5,1.9071,1.90224171177,0.997452525704
GS-21.2,cooling,84.96,5,1.9116,1.9107591371,0.999560126123
GI-21.2,warming,85.06,5,1.91385,1.9125166764,0.9993033291
GS-22,cooling,87.6,5,1.971,1.94356245076,0.986079376336
GI-22,warming,90.04,5,2.0259,2.02500739999,0.99955940569
GS-23.1,cooling,90.14,5,2.02815,2.02509064797,0.998491555344
GI-23.1,warming,104.04,5,2.3409,2.32406437303,0.992808053754
GS-23.2,cooling,104.38,5,2.34855,2.33681325794,0.99500255815
GI-23.2,warming,104.52,5,2.3517,2.3423403873,0.996020065189
GS-24.1,cooling,105.44,5,2.3724,2.36339177455,0.996202906149
GI-24.1,warming,106.75,5,2.401875,2.3765674926,0.989463436939
GS-24.2,cooling,106.9,5,2.40525,2.37907365113,0.989116994545
GI-24.2,warming,108.28,5,2.4363,2.41155617185,0.989843685857
GS-25,cooling,110.64,5,2.4894,2.47688437356,0.994972432539
GI-25,warming,115.37,5,2.595825,2.58812936585,0.997035380216
GS-26,cooling,119.14,5,2.68065,2.66514007277,0.994214117014
GS-1,cooling,12.896,10,0.069,0.0755722598503,1.09525014276
GI-1,warming,14.692,10,0.093,0.110421486037,1.18732780684
GS-2.1,cooling,22.9,10,0.2865,0.254877318773,0.889624149296
GI-2.1,warming,23.02,10,0.2915,0.257462268507,0.883232482015
GS-2.2,cooling,23.22,10,0.295,0.261941633394,0.887937740318
GI-2.2,warming,23.34,10,0.298,0.264728099651,0.888349327689
GS-3,cooling,27.54,10,0.411,0.394043533058,0.958743389436
GI-3,warming,27.78,10,0.416,0.402647272815,0.967902098112
GS-4,cooling,28.6,10,0.4435,0.432625536116,0.97548035201
GI-4,warming,28.9,10,0.449,0.443793006508,0.988403132533
GS-5.1,cooling,30.6,10,0.504,0.486920344102,0.966111793852
GI-5.1,warming,30.84,10,0.512,0.488279987446,0.95367185048
GS-5.2,cooling,32.04,10,0.5535,0.501673790964,0.906366379338
GI-5.2,warming,32.5,10,0.566,0.509596822866,0.900347743579
